Sample	1	2	3	4	5	6	7	8
fastqc | SRR9264343_S0_L001_I1_001	0.6673917127903929	0.05759974722996845	0.0	3.3177393737227566e-05	3.9338909716998396e-05	0.0	0.00032134675648343267	5.687553212096153e-06
fastqc | SRR9264344_S0_L001_I1_001	0.4561142661206527	0.12457631278411635	3.0265912737937816e-06	0.799926863027187	3.026591273793782e-07	0.0	0.0026261732482708642	0.0
fastqc | SRR9264345_S0_L001_I1_001	0.7582149213813628	0.04283128361521218	0.004307608198409987	0.00022883980363425067	0.0	0.0	0.0	0.0
fastqc | SRR9264346_S0_L001_I1_001	0.4768672266597135	0.07537168710419641	0.0	0.0005618359483858049	0.0	0.0	0.0	0.0017585598006212902
fastqc | SRR9264347_S0_L001_I1_001	0.5300099306817077	0.021541669617104776	0.0	0.0029999493907315413	0.0	0.0008299238074294849	0.0	0.0
fastqc | SRR9264348_S0_L001_I1_001	0.20987290559383695	0.0008115823111586615	0.00912275211419349	0.0009101800103123334	0.0	0.001517480213536981	0.0	0.003717441375903284
fastqc | SRR9264349_S0_L001_I1_001	0.3181350102407263	0.04191936591517424	0.0	0.0	0.0	0.0	0.01008333932811396	0.0
fastqc | SRR9264350_S0_L001_I1_001	0.3695220785107148	0.03543299902210853	0.0	0.0	0.0	0.0	0.0076350377365493076	0.0
fastqc | SRR9264351_S0_L001_I1_001	0.473874678542618	0.048283651576426966	0.0	0.0	9.088139051547548e-05	0.0	0.00041479198748088804	0.0006338394415438289
fastqc | SRR9264352_S0_L001_I1_001	0.5963083141672914	0.005115255442029395	0.0007982103052895884	0.0007694032636642445	0.0002716613419098873	0.000204566460149593	0.0007832598153321315	0.007166754381069698
fastqc | SRR9264353_S0_L001_I1_001	0.5003729299456401	0.04582844097626144	0.0	0.00017643839899962358	0.0	0.0	0.001982224901396493	0.008043234235984645
fastqc | SRR9264354_S0_L001_I1_001	0.5074274771483746	0.09515554676778087	0.0	0.0026034779640693767	0.008225843133809817	0.0	0.00017825281488179336	0.0
