Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
fastqc | SRR9264343_S0_L001_I1_001										7.014648961585256e-05	0.0	0.0005365258530077372	0.0008972115192081683	0.013742076485959655	0.04908500610869283	99.93566097617646																																																																																																			
fastqc | SRR9264344_S0_L001_I1_001										0.0	0.0	0.00014890829067065408	0.0	0.00947141473221026	0.043697319492779864	99.94667902823394																																																																																																			
fastqc | SRR9264345_S0_L001_I1_001										0.0	0.0	0.00022883980363425067	0.0003860166161304071	0.009458912620218883	0.032550053226933905	99.95737617773308																																																																																																			
fastqc | SRR9264346_S0_L001_I1_001										0.0	0.0	0.0005618359483858049	0.0004051062984814905	0.006369798462106914	0.04339286154554196	99.94927039774548																																																																																																			
fastqc | SRR9264347_S0_L001_I1_001										0.0	0.0	0.0	0.0008299238074294849	0.013896720311922937	0.022169902638775232	99.96310345324187																																																																																																			
fastqc | SRR9264348_S0_L001_I1_001										0.0	0.0	0.0	0.001721762321470995	0.008249546241063782	0.025753410901129235	99.96427528053634																																																																																																			
fastqc | SRR9264349_S0_L001_I1_001										0.0	0.0	0.0	0.0002464597751172558	0.004112374950896654	0.052723031568568564	99.94291813370542																																																																																																			
fastqc | SRR9264350_S0_L001_I1_001										0.0	0.0	0.0	0.0	0.003162025802475788	0.038995441232989085	99.95784253296453																																																																																																			
fastqc | SRR9264351_S0_L001_I1_001										1.211751873539673e-05	0.00012164124576686717	0.0013692796170998304	0.0006412963761502269	0.028246402230622674	0.06719536985507807	99.90241389315655																																																																																																			
fastqc | SRR9264352_S0_L001_I1_001										0.0	0.0	0.0017885891034469762	0.0010385120828984686	0.00783332744551436	0.014044709053692912	99.97529486231444																																																																																																			
fastqc | SRR9264353_S0_L001_I1_001										0.0	0.0	0.00017643839899962358	0.0	0.006447008142507906	0.03057384452268026	99.96280270893581																																																																																																			
fastqc | SRR9264354_S0_L001_I1_001										0.0	2.8372420361807942e-05	0.00014988039451998541	0.0002208114454245053	0.012557571572961496	0.027604514636798142	99.95943884952993																																																																																																			
