Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
fastqc | SRR9264343_S0_L001_R1_001	0.8381377477707316	0.0005156714912300513	0.00143421133498358	0.00970106992876534	0.0002891172882815545	0.0	0.0007957834869257869	0.004283201531476079	0.0	1.6114734100939103e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032599159160664457	0.0004905514645432933	0.0048329983419787064	0.0013185644196709583
fastqc | SRR9264344_S0_L001_R1_001	0.41716657631383736	0.006373698563482326	0.0	0.06024187803184619	0.0	0.0	0.0	0.0	0.0	0.0037423801100460114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004553506571422745	0.0	0.0	0.0	0.0	0.0	0.0	0.005758997875774808	0.009478981210394744
fastqc | SRR9264345_S0_L001_R1_001	0.5067720683531486	0.04174068128789211	0.0	0.04866007429778037	0.0	0.0001300773620657846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037096136589131166	0.0	0.0003306132952505359	0.00018638399796000154	0.0	0.0	0.000386317721135189	0.0	0.0	0.0003534972756139609	9.816023155890228e-05
fastqc | SRR9264346_S0_L001_R1_001	0.4787954662296167	0.0015520219992643334	0.04047078332698695	0.03198679486288687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010592533542261927	0.0	0.001179789080741587	0.0	0.0	0.0	4.0842684191166673e-05	0.0	0.0	0.0	0.0	0.0
fastqc | SRR9264347_S0_L001_R1_001	1.1054781337256296	0.0	0.0	0.036226174194297016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1230609027265897e-05	0.0005265834390550647	0.005381959388411905	0.0015250654151252668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005729369354312619
fastqc | SRR9264348_S0_L001_R1_001	0.5380106701444047	0.010095480039906433	0.0	0.006557979464958599	0.0	3.081178098552245e-07	0.0	0.0	0.010154638659398637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5881896027838862e-05	0.0	0.0011874860391820354	0.0	0.0	0.0	0.00036573584029815154	0.0	0.0	0.0
fastqc | SRR9264349_S0_L001_R1_001	0.3102765696306285	0.0005049045018923332	0.02467517162473822	0.01628201778682988	0.0	0.0	0.0	0.0	0.00014013174246068407	0.0	0.0	0.0	0.0	0.001273477940256743	0.0	0.0	0.0	0.0	0.0	0.0	0.0007138728897723007	0.001796513522862191	0.0	0.0033434942060794797	0.0	0.007664222931950573
fastqc | SRR9264350_S0_L001_R1_001	0.303922218973955	0.00042014439157481956	0.0	0.028402439019879273	0.0	0.0	0.0	0.0	0.0009524916874293415	0.0	0.0	0.015826774498178677	0.0	0.0025584728173668396	0.0	0.006028748356874777	0.0	0.0	0.0	1.1405240270189526e-05	0.0	0.0	4.007246581417941e-06	0.0	3.082497370321493e-07	0.0
fastqc | SRR9264351_S0_L001_R1_001	0.6219279206269339	0.0	0.02067435119623842	0.006065284185478963	0.0005313065907058566	0.0	0.002293473449880281	0.0	0.0	7.0374820347881e-05	0.0	0.0	3.2624088902991197e-06	0.0	0.0	0.0	0.0	0.0	6.058759367698365e-06	0.0	0.0	1.9574453341794716e-05	0.000489361333544868	0.0	0.0	0.001696918681368442
fastqc | SRR9264352_S0_L001_R1_001	0.6090745740065735	0.0	0.004833019363320331	0.01924018663695744	0.0	0.00016664326611116577	0.0	0.004885893047316215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013163724084492526	9.116152413083467e-05	0.006551961062331349	0.0019122041301683878	0.0	0.0
fastqc | SRR9264353_S0_L001_R1_001	0.41063521368331884	0.03045536964104152	0.0	0.029735284406135116	1.910885187721555e-06	0.0	0.000505110651287731	0.0	0.0	0.0	3.5669856837469025e-05	0.0	0.0	0.0	0.0008837843993212192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022421052869266243	0.0	0.003789922288981084
fastqc | SRR9264354_S0_L001_R1_001	0.6796264810334041	0.0006504068972070973	0.042540435186175535	0.009355188822559172	0.0	0.0001316850379836086	0.0	0.0	0.0011062159982370117	0.0	0.0	0.0	0.0	0.0	1.2335834939916497e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.002829840535216844	0.0	0.00026922959756367753	0.0	0.0008921892620294606
