Sample	Top over-represented sequence	Sum of remaining over-represented sequences
fastqc | SRR9264344_S0_L001_I1_001	26.605005135731936	72.01424697625222
fastqc | SRR9264345_S0_L001_I1_001	28.1732110514594	70.11417895759229
fastqc | SRR9264346_S0_L001_I1_001	27.440264959442466	70.76235078204195
fastqc | SRR9264347_S0_L001_I1_001	28.34195946381273	69.94227696564067
fastqc | SRR9264348_S0_L001_I1_001	25.921283959943896	71.76956378011549
fastqc | SRR9264349_S0_L001_I1_001	28.483663516754014	69.54297393564033
fastqc | SRR9264350_S0_L001_I1_001	33.50990011845421	64.25541813645278
fastqc | SRR9264351_S0_L001_I1_001	33.872516777275614	64.28338655697107
fastqc | SRR9264352_S0_L001_I1_001	32.785939132748474	64.6012049423957
fastqc | SRR9264353_S0_L001_I1_001	27.053188887271396	71.25063935431672
fastqc | SRR9264354_S0_L001_I1_001	34.66421274425346	63.529116027575924
