Sample	1	2	3	4	5	6	7	8
fastqc | SRR9264344_S0_L001_I1_001	30.91165166091793	31.15447770589563	34.06672906771491	34.61232044921297	35.38835953202192	38.48854974541434	38.477450502778254	38.739808451759764
fastqc | SRR9264345_S0_L001_I1_001	30.755495157304118	31.08214616060888	34.087904468631926	35.324245442300004	35.508161686016514	38.527292449705286	38.83294359505934	38.420355714853756
fastqc | SRR9264346_S0_L001_I1_001	30.655505470138728	30.867777355238626	34.07283020957361	34.990752734820326	35.12298995012627	38.203500835656264	38.21396175945967	38.31075139664132
fastqc | SRR9264347_S0_L001_I1_001	30.51331876362416	31.041988254770306	33.586873878097016	34.85526235594827	35.01627210378618	38.097991391058805	38.47825500065846	38.745340276175675
fastqc | SRR9264348_S0_L001_I1_001	30.90770325767784	30.942921942937666	33.49740045317475	34.72077936711517	35.247401811974285	38.19969680652898	38.49219929513491	38.6087648689644
fastqc | SRR9264349_S0_L001_I1_001	30.97000294746838	30.840268408708276	34.15359272696097	34.93472453545874	35.37451004403637	38.41496923104897	38.55049165944013	38.65952568521264
fastqc | SRR9264350_S0_L001_I1_001	30.960018615818118	31.097154275417687	34.26754534384457	35.27548246632341	35.129085538932124	38.23752663431853	38.75763926692294	38.61580519393409
fastqc | SRR9264351_S0_L001_I1_001	30.717800647605873	31.100568386664094	32.73759073219357	34.070268358624624	34.998917313682746	36.358614830400946	38.087400600634645	37.46916983284615
fastqc | SRR9264352_S0_L001_I1_001	28.88717381932626	29.557860237598145	32.2099629270148	32.93600446784818	33.63006327878743	36.36195305747438	36.70961208277303	36.16455622147063
fastqc | SRR9264353_S0_L001_I1_001	30.758773239353623	30.78107458800511	33.690148982705075	34.99079604314405	34.71028560736532	38.14067884839625	38.609376340356576	38.69090407535662
fastqc | SRR9264354_S0_L001_I1_001	30.41696394229896	29.784947825925357	31.72146380138363	34.24440569422881	34.588689256290216	37.505885112286045	36.62017485589602	35.51183375412203
