Sample	Unique Reads	Duplicate Reads
fastqc | SRR9264344_S0_L001_I1_001	121.0	330404585.0
fastqc | SRR9264345_S0_L001_I1_001	116.0	332109940.0
fastqc | SRR9264346_S0_L001_I1_001	116.0	301155409.0
fastqc | SRR9264347_S0_L001_I1_001	116.0	310871795.0
fastqc | SRR9264348_S0_L001_I1_001	124.0	324551060.0
fastqc | SRR9264349_S0_L001_I1_001	112.0	325407959.0
fastqc | SRR9264350_S0_L001_I1_001	112.0	324412168.0
fastqc | SRR9264351_S0_L001_I1_001	121.0	214565258.0
fastqc | SRR9264352_S0_L001_I1_001	132.0	274238372.0
fastqc | SRR9264353_S0_L001_I1_001	120.0	313990487.0
fastqc | SRR9264354_S0_L001_I1_001	120.0	324258434.0
