Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastqc | SRR9264344_S0_L001_I1_001	99.99996337824558	50.0	8.0	27.27272727272727	330404706.0
fastqc | SRR9264345_S0_L001_I1_001	99.99996507181945	49.0	8.0	27.27272727272727	332110056.0
fastqc | SRR9264346_S0_L001_I1_001	99.9999614816962	48.0	8.0	27.27272727272727	301155525.0
fastqc | SRR9264347_S0_L001_I1_001	99.99996268559626	50.0	8.0	27.27272727272727	310871911.0
fastqc | SRR9264348_S0_L001_I1_001	99.99996179339158	50.0	8.0	27.27272727272727	324551184.0
fastqc | SRR9264349_S0_L001_I1_001	99.99996558167729	51.0	8.0	27.27272727272727	325408071.0
fastqc | SRR9264350_S0_L001_I1_001	99.99996547602946	53.0	8.0	27.27272727272727	324412280.0
fastqc | SRR9264351_S0_L001_I1_001	99.99994407299044	54.0	8.0	27.27272727272727	214565379.0
fastqc | SRR9264352_S0_L001_I1_001	99.99995186671526	52.0	8.0	27.27272727272727	274238504.0
fastqc | SRR9264353_S0_L001_I1_001	99.99996178229624	50.0	8.0	18.181818181818183	313990607.0
fastqc | SRR9264354_S0_L001_I1_001	99.99996299249518	53.0	8.0	27.27272727272727	324258554.0
