Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
fastqc | SRR9264344_S0_L001_R1_001	31.306889124636136	31.48576932496839	35.25452404421867	35.86838626021265	36.17910362330009	39.520477011607696	39.66760594202917	39.77186399094449	39.69739343543127	39.781679544237484	39.78852810589205	39.777906235391214	39.75409538809656	39.750653724042294	39.715767386799875	39.704545497605594	39.72056270288112	39.62496520555007	39.695307657028344	39.68772321905124	39.72103182452855	39.663421031902615	39.72751754934144	39.773405618502295	39.78736587970996	39.639583629296126
fastqc | SRR9264345_S0_L001_R1_001	31.264038891372806	31.480613468687018	35.26126288690277	35.87685889583542	36.1537194856876	39.542506490679706	39.53307602043824	39.73250370654239	39.68773523075736	39.79053068781513	39.79664150247832	39.77147757609604	39.75467984323847	39.74416823741103	39.72269401562475	39.70772190047747	39.72927197663656	39.72290575266411	39.72321180783517	39.728059209986704	39.74106287525362	39.75707135167265	39.7699762304096	39.811812175298904	39.831102374087706	39.64674839897049
fastqc | SRR9264346_S0_L001_R1_001	31.152169497803502	31.389771879496482	35.01018533530142	35.67235010880176	35.9975790482343	39.27093098823274	39.42071426383428	39.529539008125454	39.45813146878179	39.55877983643169	39.55367242224761	39.52535468841224	39.51442785916014	39.5007756606823	39.464802739381916	39.42513643739393	39.48288716602493	39.44442118071717	39.4593097569769	39.411728106266686	39.4398208533614	39.439982786302856	39.48532364133117	39.546603971486164	39.56793709164061	39.34718229725322
fastqc | SRR9264347_S0_L001_R1_001	31.13602828851269	31.486233302692956	35.15317180586315	35.836282847696715	36.10939795393737	39.409475219522164	39.57689570416029	39.673538099104746	39.59735090057718	39.69803215189808	39.70759446645535	39.680367088553076	39.64529977428549	39.642812904379774	39.60954864783522	39.59557651060987	39.62044901509291	39.59551934558668	39.60160509323082	39.60428815326451	39.609261030984555	39.63046719586061	39.65077123677475	39.685791702165076	39.701896743575524	39.52633382821132
fastqc | SRR9264348_S0_L001_R1_001	31.246197542758	31.4332124513217	35.1301473236961	35.825902403733025	36.08195004150716	39.36271387319912	39.53724067757522	39.669333768321735	39.60259159307211	39.66752622292082	39.66450590117089	39.66791120071834	39.645517817614866	39.64664046334214	39.53219695849268	39.54543997596385	39.60234729878539	39.59547520861918	39.59586188722701	39.58428647729105	39.600525678562924	39.630073258336964	39.66599432587496	39.69282105284201	39.63641601134938	39.500901300055034
fastqc | SRR9264349_S0_L001_R1_001	31.301377008562273	31.44493783007613	35.21469017896609	35.79064508513681	36.11130981136605	39.423796427593835	39.56686609349649	39.70494342471303	39.65873480747194	39.72134518753224	39.729805349542175	39.72290035485936	39.70544906060428	39.67286645450168	39.650406897867015	39.63036035452237	39.661567644399334	39.65406184408991	39.630167375289226	39.637853460002226	39.67902700237573	39.67329616726071	39.713262465453724	39.731742409671206	39.73684595548953	39.573873138506144
fastqc | SRR9264350_S0_L001_R1_001	31.33977363618911	31.449203078872355	35.18529577548667	35.79934187448145	36.09948850579885	39.43958636214388	39.59966923570217	39.70780534879876	39.60578214548475	39.70271563394579	39.72943027927303	39.718316174714474	39.68855899351282	39.68430690724778	39.61331827204568	39.61549177793147	39.649402386987326	39.62506637541588	39.636563242920396	39.61926872496935	39.60734001191324	39.659594331632576	39.6110916732252	39.72173807662275	39.737775197658976	39.5634365258923
fastqc | SRR9264351_S0_L001_R1_001	31.181726167482033	31.39229862894144	34.86250078117216	35.748711738812254	36.06094305176792	39.355801608609	39.534182506675506	39.74216507221326	39.77726333473398	40.08178733252208	40.01329835229382	39.91232413594553	39.81575380807357	39.828633416204575	39.95640809321806	39.76938616923842	39.820848632807625	39.80328766832416	39.63988209859336	39.62362738864782	39.678614572763856	39.859724089038615	39.7027051181449	39.96163551157058	40.00390582583223	39.66540073550263
fastqc | SRR9264352_S0_L001_R1_001	31.198874239774877	31.51850333533033	35.28218979782649	35.95038869158942	36.184855781593676	39.5847308261279	39.736111071405205	39.83203718905934	39.74831571061954	39.84624959155991	39.83813718222442	39.825840954850015	39.80292260491619	39.7949446114248	39.790832639606286	39.778402320922815	39.794338245077356	39.779807327857945	39.777311635276426	39.75096433212748	39.76119448201191	39.77541711283548	39.78574180086688	39.81500406667913	39.822965541702345	39.68388513744226
fastqc | SRR9264353_S0_L001_R1_001	31.244547700753355	31.416974756827678	35.09709506692345	35.77835859911568	36.02052290373132	39.37917122788326	39.52125005446421	39.638406339333585	39.573516519237785	39.651924052619826	39.68161481021628	39.658046847242154	39.58838687808263	39.605731514764706	39.576241728148254	39.49225002135175	39.57775479570317	39.55017757585341	39.56236804561482	39.57681949065438	39.59657414528964	39.60240820197529	39.65330235181207	39.679675379588666	39.6963255560062	39.473467844851804
fastqc | SRR9264354_S0_L001_R1_001	31.13509142152037	31.481931955448122	35.28140498338249	35.93813317874723	36.18991129529308	39.59276752958073	39.71580646412184	39.80874487894003	39.75363730265694	39.8123357541402	39.81557212519982	39.79980793660111	39.74997569069527	39.54281784652626	39.606148311510694	39.62747824379677	39.639996602834415	39.618734625579066	39.58402838927111	39.41626364311734	39.526432366684766	39.590541842729614	39.638541853239744	39.653416572628025	39.695415985849365	39.546217251064405
