Sample	Unique Reads	Duplicate Reads
fastqc | SRR9264344_S0_L001_R1_001	51585021.0	278819685.0
fastqc | SRR9264345_S0_L001_R1_001	44841459.0	287268597.0
fastqc | SRR9264346_S0_L001_R1_001	52480697.0	248674828.0
fastqc | SRR9264347_S0_L001_R1_001	117200749.0	193671162.0
fastqc | SRR9264348_S0_L001_R1_001	86932580.0	237618604.0
fastqc | SRR9264349_S0_L001_R1_001	65054360.0	260353711.0
fastqc | SRR9264350_S0_L001_R1_001	51444965.0	272967315.0
fastqc | SRR9264351_S0_L001_R1_001	18476012.0	196089367.0
fastqc | SRR9264352_S0_L001_R1_001	52955492.0	221283012.0
fastqc | SRR9264353_S0_L001_R1_001	62519335.0	251471272.0
fastqc | SRR9264354_S0_L001_R1_001	41423954.0	282834600.0
