Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
fastqc | SRR9264344_S0_L001_R1_001										73.53311053644462	0.022167137203714174	0.010286576037036584	0.0021660363208256795	0.005959037882606122	0.002921307985713865	0.012270727000345845																																																																																										
fastqc | SRR9264345_S0_L001_R1_001										83.61607338114955	0.24643779043682276	0.014533958899584993	0.003369955949755134	0.002404081608540577	0.0023834975292082476	0.010486642623261067																																																																																										
fastqc | SRR9264346_S0_L001_R1_001										61.33991458091149	0.013119698557682144	0.01654247770918512	0.003395463775806839	0.004519343081250909	0.0	0.014365129247889536																																																																																										
fastqc | SRR9264347_S0_L001_R1_001										22.199671205259445	0.018296372503398797	0.019070704901767432	0.003602176617300973	0.007893576556616495	0.0050219831261281	0.08330041246715943																																																																																										
fastqc | SRR9264348_S0_L001_R1_001										16.363783092822963	0.023240682607401874	0.029975143626665177	0.008944158287149917	0.020201595651016705	0.010331623187665742	0.07420155094477973																																																																																										
fastqc | SRR9264349_S0_L001_R1_001										38.20104308346717	0.02521661969394061	0.05072225760738818	0.010000105261013298	0.0380496474236172	0.005615004548815943	0.0703420878233974																																																																																										
fastqc | SRR9264350_S0_L001_R1_001										68.32526202037198	0.02015872726406454	0.010336652452902387	0.0022053489498805447	0.010166699141382948	0.005134220123491241	0.018861695698688927																																																																																										
fastqc | SRR9264351_S0_L001_R1_001										76.21448109658124	14.875579146290981	0.38788851847047323	0.013948454459475646	0.006115227247900499	0.0	0.005498418929740799																																																																																										
fastqc | SRR9264352_S0_L001_R1_001										20.574030380104606	33.79777579910414	10.844735528931992	0.09021829249190673	0.27248766845096	0.37246590911584687	6.246119311864667																																																																																										
fastqc | SRR9264353_S0_L001_R1_001										47.284433377809734	0.01815302806119136	0.055791295564060636	0.011234644799190403	0.024433165848818866	0.008897360073278819	0.05952939329567237																																																																																										
fastqc | SRR9264354_S0_L001_R1_001										84.72066279697447	0.6889824205178449	0.018638698120275236	0.0033369060445908177	0.00398717123855084	0.002285943558628514	0.010504023275182132																																																																																										
