Sample	Top over-represented sequence	Sum of remaining over-represented sequences
fastqc | SRR9264344_S0_L001_R2_001	0.0	0.0
fastqc | SRR9264345_S0_L001_R2_001	0.10490076819595008	0.0
fastqc | SRR9264346_S0_L001_R2_001	0.14797669742237007	0.5979073437221515
fastqc | SRR9264347_S0_L001_R2_001	0.0	0.0
fastqc | SRR9264348_S0_L001_R2_001	0.11619430727450374	0.0
fastqc | SRR9264349_S0_L001_R2_001	0.3190062240343141	0.30993976175839844
fastqc | SRR9264350_S0_L001_R2_001	0.3304058033808091	0.4798446593945211
fastqc | SRR9264351_S0_L001_R2_001	0.0	0.0
fastqc | SRR9264352_S0_L001_R2_001	0.12758784594303357	0.0
fastqc | SRR9264353_S0_L001_R2_001	0.18348701749539917	1.0094212786435361
fastqc | SRR9264354_S0_L001_R2_001	0.1447141468471484	0.11313471779683565
