Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastqc | SRR9264344_S0_L001_R2_001	70.04901876391003	46.0	98.0	18.181818181818183	330404706.0
fastqc | SRR9264345_S0_L001_R2_001	71.06011104082063	48.0	98.0	18.181818181818183	332110056.0
fastqc | SRR9264346_S0_L001_R2_001	69.93584068362881	49.0	98.0	18.181818181818183	301155525.0
fastqc | SRR9264347_S0_L001_R2_001	18.390793872065345	46.0	98.0	18.181818181818183	310871911.0
fastqc | SRR9264348_S0_L001_R2_001	51.567497304258694	47.0	98.0	18.181818181818183	324551184.0
fastqc | SRR9264349_S0_L001_R2_001	58.42095795900457	47.0	98.0	27.27272727272727	325408071.0
fastqc | SRR9264350_S0_L001_R2_001	62.95192443601272	47.0	98.0	27.27272727272727	324412280.0
fastqc | SRR9264351_S0_L001_R2_001	7.315661145990219	48.0	98.0	18.181818181818183	214565379.0
fastqc | SRR9264352_S0_L001_R2_001	19.334631175298284	44.0	98.0	18.181818181818183	274238504.0
fastqc | SRR9264353_S0_L001_R2_001	64.62594761424727	49.0	98.0	27.27272727272727	313990607.0
fastqc | SRR9264354_S0_L001_R2_001	71.76904436567347	47.0	98.0	18.181818181818183	324258554.0
