Sample	Top over-represented sequence	Sum of remaining over-represented sequences
fastqc | MantonBM1_HiSeq_1_S1_L007_I1_001	33.60400118009806	65.05059502120591
fastqc | MantonBM1_HiSeq_1_S1_L008_I1_001	33.04479592593092	64.91523678719844
fastqc | MantonBM1_HiSeq_2_S2_L007_I1_001	27.125791237170816	71.40450748244115
fastqc | MantonBM1_HiSeq_2_S2_L008_I1_001	26.672104813750842	71.06490723638211
fastqc | MantonBM1_HiSeq_3_S3_L007_I1_001	30.316271797097027	68.39986793679353
fastqc | MantonBM1_HiSeq_3_S3_L008_I1_001	30.090178360830084	67.96751008060177
fastqc | MantonBM1_HiSeq_4_S4_L007_I1_001	27.08820980637029	71.48139039360444
fastqc | MantonBM1_HiSeq_4_S4_L008_I1_001	26.832380016368173	70.95264923462993
fastqc | MantonBM1_HiSeq_5_S5_L007_I1_001	26.37770954099452	72.32543990593345
fastqc | MantonBM1_HiSeq_5_S5_L008_I1_001	26.079854255697477	71.82553406339343
fastqc | MantonBM1_HiSeq_6_S6_L007_I1_001	28.9054039720594	69.54308433208317
fastqc | MantonBM1_HiSeq_6_S6_L008_I1_001	28.398033368835986	69.31953843600577
fastqc | MantonBM1_HiSeq_7_S7_L007_I1_001	31.14195415922164	67.41481794296163
fastqc | MantonBM1_HiSeq_7_S7_L008_I1_001	30.856150757655236	66.99583736778277
fastqc | MantonBM1_HiSeq_8_S8_L007_I1_001	28.358941499937423	70.27987517674637
fastqc | MantonBM1_HiSeq_8_S8_L008_I1_001	28.048631740466483	69.7761660450821
fastqc | MantonBM2_HiSeq_1_S9_L005_I1_001	29.616030709652257	68.92226490104642
fastqc | MantonBM2_HiSeq_1_S9_L006_I1_001	29.35431914067862	69.12557618204525
fastqc | MantonBM2_HiSeq_2_S10_L005_I1_001	28.89494629852078	69.66473710943596
fastqc | MantonBM2_HiSeq_2_S10_L006_I1_001	28.56599924868194	69.92456498167695
fastqc | MantonBM2_HiSeq_3_S11_L005_I1_001	26.983790522732914	71.46213479252056
fastqc | MantonBM2_HiSeq_3_S11_L006_I1_001	27.131901624769817	71.08560149142926
fastqc | MantonBM2_HiSeq_4_S12_L005_I1_001	28.124452351661976	70.45883340401409
fastqc | MantonBM2_HiSeq_4_S12_L006_I1_001	28.162512374894295	70.2415630166248
fastqc | MantonBM2_HiSeq_5_S13_L005_I1_001	39.58076547555665	59.06923024577612
fastqc | MantonBM2_HiSeq_5_S13_L006_I1_001	39.557671532133284	58.918733688862076
fastqc | MantonBM2_HiSeq_6_S14_L005_I1_001	33.72497013715496	65.0030356754965
fastqc | MantonBM2_HiSeq_6_S14_L006_I1_001	33.80673022342597	64.77088816909233
fastqc | MantonBM2_HiSeq_7_S15_L005_I1_001	27.564777659706944	71.03304589885632
fastqc | MantonBM2_HiSeq_7_S15_L006_I1_001	27.353268402823193	71.0434923310983
fastqc | MantonBM2_HiSeq_8_S16_L005_I1_001	26.56952856674679	72.03196103869882
fastqc | MantonBM2_HiSeq_8_S16_L006_I1_001	26.66964373779298	71.87187074937387
fastqc | MantonBM3_HiSeq_1_S17_L003_I1_001	25.72549679355987	72.73738148065806
fastqc | MantonBM3_HiSeq_1_S17_L004_I1_001	25.71601349191594	72.9501199991054
fastqc | MantonBM3_HiSeq_2_S18_L003_I1_001	33.93760255393333	64.6329598436418
fastqc | MantonBM3_HiSeq_2_S18_L004_I1_001	33.99617552095272	64.67871590364152
fastqc | MantonBM3_HiSeq_3_S19_L003_I1_001	30.330044483700387	68.01309855965296
fastqc | MantonBM3_HiSeq_3_S19_L004_I1_001	30.139688173396173	68.50911648559955
fastqc | MantonBM3_HiSeq_4_S20_L003_I1_001	28.245975570818032	70.17783932907474
fastqc | MantonBM3_HiSeq_4_S20_L004_I1_001	28.285823191429177	70.34469875021944
fastqc | MantonBM3_HiSeq_5_S21_L003_I1_001	28.326727131008493	70.1442973557009
fastqc | MantonBM3_HiSeq_5_S21_L004_I1_001	28.176770511153602	70.50008908661995
fastqc | MantonBM3_HiSeq_6_S22_L003_I1_001	29.161000117677148	69.37213437408317
fastqc | MantonBM3_HiSeq_6_S22_L004_I1_001	29.2424228047887	69.48127025283586
fastqc | MantonBM3_HiSeq_7_S23_L003_I1_001	33.130957241000196	65.20598971919924
fastqc | MantonBM3_HiSeq_7_S23_L004_I1_001	33.054780988203134	65.48152370344673
fastqc | MantonBM3_HiSeq_8_S24_L003_I1_001	29.995217133450048	68.40759690923014
fastqc | MantonBM3_HiSeq_8_S24_L004_I1_001	29.872829470112368	68.72515236684784
fastqc | MantonBM4_HiSeq_1_S25_L001_I1_001	30.69019560610403	67.78818347655086
fastqc | MantonBM4_HiSeq_1_S25_L002_I1_001	31.0469411656027	67.54824816536986
fastqc | MantonBM4_HiSeq_2_S26_L001_I1_001	29.234741210647446	69.38352186188239
