Sample	1	2	3	4	5	6	7	8
fastqc | MantonBM1_HiSeq_1_S1_L007_I1_001	31.156668333752013	31.458552142849303	34.03849760205198	35.52830059446852	36.04261587579231	39.27272053729714	39.389332197981226	39.58132342862501
fastqc | MantonBM1_HiSeq_1_S1_L008_I1_001	31.040256787423687	31.372103885923625	33.97629304575412	35.40029711909723	35.91368744260569	38.959258381130724	39.17411021529626	39.37843791961029
fastqc | MantonBM1_HiSeq_2_S2_L007_I1_001	31.065711047917183	31.415689000041528	34.72310639522933	35.82733558743843	35.84519756906612	38.64466520158832	39.094661920690406	39.58999946063569
fastqc | MantonBM1_HiSeq_2_S2_L008_I1_001	30.9336473757884	31.316526929472502	34.68735860554105	35.71139426713907	35.71128782278723	38.39373871136571	38.89385440899883	39.392993685215174
fastqc | MantonBM1_HiSeq_3_S3_L007_I1_001	31.040850091989423	31.43362939215234	34.347206037026574	35.52823598580993	35.677976530524546	38.68975664898287	39.20615399266226	39.41618815963933
fastqc | MantonBM1_HiSeq_3_S3_L008_I1_001	30.907527745280973	31.345030905692507	34.22120736855156	35.44840986510587	35.54261491952406	38.4188029906376	39.01151718750927	39.22174211928561
fastqc | MantonBM1_HiSeq_4_S4_L007_I1_001	31.012397154507497	31.374113652267052	34.124347791408525	35.69867789172082	35.95193654177252	39.11111157776548	39.3943446128048	39.436567768710745
fastqc | MantonBM1_HiSeq_4_S4_L008_I1_001	30.87617827980775	31.27698418523856	34.066393404037846	35.581075210924524	35.814327165745595	38.87124550892933	39.20200794219492	39.225441079368984
fastqc | MantonBM1_HiSeq_5_S5_L007_I1_001	30.76473717774901	31.363908694920514	34.5493810210891	35.56575264829977	36.08011683217835	39.3886049963236	39.529487145965724	39.33107769034672
fastqc | MantonBM1_HiSeq_5_S5_L008_I1_001	30.603543832080224	31.25571230448532	34.50715107645124	35.434880053985296	35.942067107774314	39.097671219437395	39.348036852083695	39.135099797990996
