Sample	Unique Reads	Duplicate Reads
fastqc | MantonBM1_HiSeq_1_S1_L007_I1_001	112.0	50209275.0
fastqc | MantonBM1_HiSeq_1_S1_L008_I1_001	114.0	48486840.0
fastqc | MantonBM1_HiSeq_2_S2_L007_I1_001	112.0	49650930.0
fastqc | MantonBM1_HiSeq_2_S2_L008_I1_001	116.0	47442514.0
fastqc | MantonBM1_HiSeq_3_S3_L007_I1_001	113.0	49227830.0
fastqc | MantonBM1_HiSeq_3_S3_L008_I1_001	115.0	46690798.0
fastqc | MantonBM1_HiSeq_4_S4_L007_I1_001	113.0	53334626.0
fastqc | MantonBM1_HiSeq_4_S4_L008_I1_001	116.0	50898660.0
fastqc | MantonBM1_HiSeq_5_S5_L007_I1_001	113.0	58324572.0
fastqc | MantonBM1_HiSeq_5_S5_L008_I1_001	116.0	55979568.0
fastqc | MantonBM1_HiSeq_6_S6_L007_I1_001	113.0	62365772.0
fastqc | MantonBM1_HiSeq_6_S6_L008_I1_001	115.0	60212294.0
fastqc | MantonBM1_HiSeq_7_S7_L007_I1_001	112.0	60241448.0
fastqc | MantonBM1_HiSeq_7_S7_L008_I1_001	117.0	57960084.0
fastqc | MantonBM1_HiSeq_8_S8_L007_I1_001	113.0	59561225.0
fastqc | MantonBM1_HiSeq_8_S8_L008_I1_001	115.0	57463508.0
fastqc | MantonBM2_HiSeq_1_S9_L005_I1_001	112.0	51096266.0
fastqc | MantonBM2_HiSeq_1_S9_L006_I1_001	108.0	46922779.0
fastqc | MantonBM2_HiSeq_2_S10_L005_I1_001	113.0	57966726.0
fastqc | MantonBM2_HiSeq_2_S10_L006_I1_001	108.0	53032026.0
fastqc | MantonBM2_HiSeq_3_S11_L005_I1_001	112.0	55974611.0
fastqc | MantonBM2_HiSeq_3_S11_L006_I1_001	108.0	51261861.0
fastqc | MantonBM2_HiSeq_4_S12_L005_I1_001	112.0	54260301.0
fastqc | MantonBM2_HiSeq_4_S12_L006_I1_001	108.0	49999309.0
fastqc | MantonBM2_HiSeq_5_S13_L005_I1_001	112.0	59574514.0
fastqc | MantonBM2_HiSeq_5_S13_L006_I1_001	108.0	54777646.0
fastqc | MantonBM2_HiSeq_6_S14_L005_I1_001	112.0	59474295.0
fastqc | MantonBM2_HiSeq_6_S14_L006_I1_001	108.0	54816616.0
fastqc | MantonBM2_HiSeq_7_S15_L005_I1_001	112.0	67872516.0
fastqc | MantonBM2_HiSeq_7_S15_L006_I1_001	108.0	62438233.0
fastqc | MantonBM2_HiSeq_8_S16_L005_I1_001	112.0	54081860.0
fastqc | MantonBM2_HiSeq_8_S16_L006_I1_001	108.0	49760208.0
fastqc | MantonBM3_HiSeq_1_S17_L003_I1_001	112.0	55017912.0
fastqc | MantonBM3_HiSeq_1_S17_L004_I1_001	108.0	52045280.0
fastqc | MantonBM3_HiSeq_2_S18_L003_I1_001	112.0	77483508.0
fastqc | MantonBM3_HiSeq_2_S18_L004_I1_001	108.0	72478783.0
fastqc | MantonBM3_HiSeq_3_S19_L003_I1_001	112.0	54962267.0
fastqc | MantonBM3_HiSeq_3_S19_L004_I1_001	108.0	51555724.0
fastqc | MantonBM3_HiSeq_4_S20_L003_I1_001	112.0	68964948.0
fastqc | MantonBM3_HiSeq_4_S20_L004_I1_001	109.0	65070594.0
fastqc | MantonBM3_HiSeq_5_S21_L003_I1_001	113.0	53148678.0
fastqc | MantonBM3_HiSeq_5_S21_L004_I1_001	108.0	49608913.0
fastqc | MantonBM3_HiSeq_6_S22_L003_I1_001	112.0	54453960.0
fastqc | MantonBM3_HiSeq_6_S22_L004_I1_001	108.0	50904183.0
fastqc | MantonBM3_HiSeq_7_S23_L003_I1_001	112.0	49276789.0
fastqc | MantonBM3_HiSeq_7_S23_L004_I1_001	108.0	45677363.0
fastqc | MantonBM3_HiSeq_8_S24_L003_I1_001	112.0	53041301.0
fastqc | MantonBM3_HiSeq_8_S24_L004_I1_001	108.0	50048673.0
fastqc | MantonBM4_HiSeq_1_S25_L001_I1_001	109.0	61638765.0
