Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastqc | MantonBM1_HiSeq_1_S1_L007_I1_001	MantonBM1_HiSeq_1_S1_L007_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50209387.0	0.0	8.0	52.0	0.00022306585818305253	8.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_1_S1_L008_I1_001	MantonBM1_HiSeq_1_S1_L008_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48486954.0	0.0	8.0	52.0	0.00023511478984635745	8.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_2_S2_L007_I1_001	MantonBM1_HiSeq_2_S2_L007_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49651042.0	0.0	8.0	50.0	0.00022557431926604883	8.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_2_S2_L008_I1_001	MantonBM1_HiSeq_2_S2_L008_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47442630.0	0.0	8.0	50.0	0.000244505837893051	8.0	pass	pass	fail	pass	pass	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_3_S3_L007_I1_001	MantonBM1_HiSeq_3_S3_L007_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49227943.0	0.0	8.0	51.0	0.0002295444276434626	8.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_3_S3_L008_I1_001	MantonBM1_HiSeq_3_S3_L008_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46690913.0	0.0	8.0	51.0	0.0002463006024319978	8.0	pass	pass	fail	pass	pass	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_4_S4_L007_I1_001	MantonBM1_HiSeq_4_S4_L007_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53334739.0	0.0	8.0	50.0	0.00021186941591670673	8.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_4_S4_L008_I1_001	MantonBM1_HiSeq_4_S4_L008_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50898776.0	0.0	8.0	50.0	0.0002279033193253999	8.0	pass	pass	fail	pass	pass	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_5_S5_L007_I1_001	MantonBM1_HiSeq_5_S5_L007_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58324685.0	0.0	8.0	50.0	0.00019202846959224897	8.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_5_S5_L008_I1_001	MantonBM1_HiSeq_5_S5_L008_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55979684.0	0.0	8.0	50.0	0.00020543167053247387	8.0	pass	pass	fail	pass	pass	warn	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_6_S6_L007_I1_001	MantonBM1_HiSeq_6_S6_L007_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62365885.0	0.0	8.0	50.0	0.00018118880217926836	8.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_6_S6_L008_I1_001	MantonBM1_HiSeq_6_S6_L008_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60212409.0	0.0	8.0	50.0	0.00019099053153644793	8.0	pass	pass	fail	pass	pass	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_7_S7_L007_I1_001	MantonBM1_HiSeq_7_S7_L007_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60241560.0	0.0	8.0	51.0	0.00018591816015388712	8.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_7_S7_L008_I1_001	MantonBM1_HiSeq_7_S7_L008_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57960201.0	0.0	8.0	51.0	0.00020013733216694675	8.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_8_S8_L007_I1_001	MantonBM1_HiSeq_8_S8_L007_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59561338.0	0.0	8.0	50.0	0.00018804144393129652	8.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	warn
fastqc | MantonBM1_HiSeq_8_S8_L008_I1_001	MantonBM1_HiSeq_8_S8_L008_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57463623.0	0.0	8.0	50.0	0.0002001266087938799	8.0	pass	pass	fail	pass	pass	fail	pass	pass	fail	fail	warn
fastqc | MantonBM2_HiSeq_1_S9_L005_I1_001	MantonBM2_HiSeq_1_S9_L005_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51096378.0	0.0	8.0	48.0	0.00021919361877274356	8.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	warn
fastqc | MantonBM2_HiSeq_1_S9_L006_I1_001	MantonBM2_HiSeq_1_S9_L006_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46922887.0	0.0	8.0	48.0	0.00023016486602795772	8.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	warn
fastqc | MantonBM2_HiSeq_2_S10_L005_I1_001	MantonBM2_HiSeq_2_S10_L005_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57966839.0	0.0	8.0	52.0	0.00019321391666707926	8.0	pass	pass	warn	pass	pass	fail	pass	pass	fail	fail	warn
fastqc | MantonBM2_HiSeq_2_S10_L006_I1_001	MantonBM2_HiSeq_2_S10_L006_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53032134.0	0.0	8.0	52.0	0.0002036501114588374	8.0	pass	pass	warn	pass	pass	fail	pass	pass	fail	fail	warn
