Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastqc | MantonBM1_HiSeq_1_S1_L007_I1_001	99.99977693414182	52.0	8.0	27.27272727272727	50209387.0
fastqc | MantonBM1_HiSeq_1_S1_L008_I1_001	99.99976488521015	52.0	8.0	36.36363636363637	48486954.0
fastqc | MantonBM1_HiSeq_2_S2_L007_I1_001	99.99977442568074	50.0	8.0	27.27272727272727	49651042.0
fastqc | MantonBM1_HiSeq_2_S2_L008_I1_001	99.9997554941621	50.0	8.0	36.36363636363637	47442630.0
fastqc | MantonBM1_HiSeq_3_S3_L007_I1_001	99.99977045557236	51.0	8.0	27.27272727272727	49227943.0
fastqc | MantonBM1_HiSeq_3_S3_L008_I1_001	99.99975369939757	51.0	8.0	36.36363636363637	46690913.0
fastqc | MantonBM1_HiSeq_4_S4_L007_I1_001	99.99978813058408	50.0	8.0	27.27272727272727	53334739.0
fastqc | MantonBM1_HiSeq_4_S4_L008_I1_001	99.99977209668067	50.0	8.0	36.36363636363637	50898776.0
fastqc | MantonBM1_HiSeq_5_S5_L007_I1_001	99.9998079715304	50.0	8.0	18.181818181818183	58324685.0
fastqc | MantonBM1_HiSeq_5_S5_L008_I1_001	99.99979456832946	50.0	8.0	27.27272727272727	55979684.0
fastqc | MantonBM1_HiSeq_6_S6_L007_I1_001	99.99981881119783	50.0	8.0	27.27272727272727	62365885.0
fastqc | MantonBM1_HiSeq_6_S6_L008_I1_001	99.99980900946846	50.0	8.0	36.36363636363637	60212409.0
fastqc | MantonBM1_HiSeq_7_S7_L007_I1_001	99.99981408183984	51.0	8.0	27.27272727272727	60241560.0
fastqc | MantonBM1_HiSeq_7_S7_L008_I1_001	99.99979986266783	51.0	8.0	36.36363636363637	57960201.0
fastqc | MantonBM1_HiSeq_8_S8_L007_I1_001	99.99981195855607	50.0	8.0	27.27272727272727	59561338.0
fastqc | MantonBM1_HiSeq_8_S8_L008_I1_001	99.99979987339121	50.0	8.0	36.36363636363637	57463623.0
fastqc | MantonBM2_HiSeq_1_S9_L005_I1_001	99.99978080638122	48.0	8.0	27.27272727272727	51096378.0
fastqc | MantonBM2_HiSeq_1_S9_L006_I1_001	99.99976983513397	48.0	8.0	27.27272727272727	46922887.0
fastqc | MantonBM2_HiSeq_2_S10_L005_I1_001	99.99980678608333	52.0	8.0	27.27272727272727	57966839.0
fastqc | MantonBM2_HiSeq_2_S10_L006_I1_001	99.99979634988854	52.0	8.0	27.27272727272727	53032134.0
fastqc | MantonBM2_HiSeq_3_S11_L005_I1_001	99.99979990968423	50.0	8.0	27.27272727272727	55974723.0
fastqc | MantonBM2_HiSeq_3_S11_L006_I1_001	99.99978931749578	50.0	8.0	27.27272727272727	51261969.0
fastqc | MantonBM2_HiSeq_4_S12_L005_I1_001	99.99979358800678	51.0	8.0	27.27272727272727	54260413.0
fastqc | MantonBM2_HiSeq_4_S12_L006_I1_001	99.99978399748142	51.0	8.0	27.27272727272727	49999417.0
fastqc | MantonBM2_HiSeq_5_S13_L005_I1_001	99.99981200049834	55.0	8.0	36.36363636363637	59574626.0
fastqc | MantonBM2_HiSeq_5_S13_L006_I1_001	99.999802839671	55.0	8.0	36.36363636363637	54777754.0
fastqc | MantonBM2_HiSeq_6_S14_L005_I1_001	99.99981168370455	52.0	8.0	27.27272727272727	59474407.0
fastqc | MantonBM2_HiSeq_6_S14_L006_I1_001	99.99980297983514	52.0	8.0	27.27272727272727	54816724.0
fastqc | MantonBM2_HiSeq_7_S15_L005_I1_001	99.99983498502519	51.0	8.0	27.27272727272727	67872628.0
fastqc | MantonBM2_HiSeq_7_S15_L006_I1_001	99.99982702935685	51.0	8.0	27.27272727272727	62438341.0
fastqc | MantonBM2_HiSeq_8_S16_L005_I1_001	99.99979290695983	49.0	8.0	27.27272727272727	54081972.0
fastqc | MantonBM2_HiSeq_8_S16_L006_I1_001	99.99978295957767	49.0	8.0	27.27272727272727	49760316.0
fastqc | MantonBM3_HiSeq_1_S17_L003_I1_001	99.99979643034798	50.0	8.0	18.181818181818183	55018024.0
fastqc | MantonBM3_HiSeq_1_S17_L004_I1_001	99.99979248881765	50.0	8.0	18.181818181818183	52045388.0
fastqc | MantonBM3_HiSeq_2_S18_L003_I1_001	99.99985545332032	56.0	8.0	36.36363636363637	77483620.0
fastqc | MantonBM3_HiSeq_2_S18_L004_I1_001	99.99985099109753	56.0	8.0	36.36363636363637	72478891.0
fastqc | MantonBM3_HiSeq_3_S19_L003_I1_001	99.99979622425005	52.0	8.0	27.27272727272727	54962379.0
fastqc | MantonBM3_HiSeq_3_S19_L004_I1_001	99.99979051836463	52.0	8.0	27.27272727272727	51555832.0
fastqc | MantonBM3_HiSeq_4_S20_L003_I1_001	99.99983759892328	51.0	8.0	27.27272727272727	68965060.0
fastqc | MantonBM3_HiSeq_4_S20_L004_I1_001	99.9998340266894	51.0	8.0	27.27272727272727	65070703.0
fastqc | MantonBM3_HiSeq_5_S21_L003_I1_001	99.99978927084155	51.0	8.0	18.181818181818183	53148791.0
fastqc | MantonBM3_HiSeq_5_S21_L004_I1_001	99.99978229765912	50.0	8.0	18.181818181818183	49609021.0
fastqc | MantonBM3_HiSeq_6_S22_L003_I1_001	99.99979432208485	51.0	8.0	18.181818181818183	54454072.0
fastqc | MantonBM3_HiSeq_6_S22_L004_I1_001	99.99978783713931	51.0	8.0	18.181818181818183	50904291.0
fastqc | MantonBM3_HiSeq_7_S23_L003_I1_001	99.99977271297966	51.0	8.0	18.181818181818183	49276901.0
fastqc | MantonBM3_HiSeq_7_S23_L004_I1_001	99.99976355958937	51.0	8.0	18.181818181818183	45677471.0
fastqc | MantonBM3_HiSeq_8_S24_L003_I1_001	99.99978884423761	51.0	8.0	27.27272727272727	53041413.0
fastqc | MantonBM3_HiSeq_8_S24_L004_I1_001	99.99978421052852	51.0	8.0	27.27272727272727	50048781.0
fastqc | MantonBM4_HiSeq_1_S25_L001_I1_001	99.99982316354449	53.0	8.0	27.27272727272727	61638874.0
fastqc | MantonBM4_HiSeq_1_S25_L002_I1_001	99.9998049303426	53.0	8.0	27.27272727272727	60491212.0
fastqc | MantonBM4_HiSeq_2_S26_L001_I1_001	99.99979470402927	47.0	8.0	27.27272727272727	52606975.0
fastqc | MantonBM4_HiSeq_2_S26_L002_I1_001	99.99975841653448	47.0	8.0	27.27272727272727	49258338.0
fastqc | MantonBM4_HiSeq_3_S27_L001_I1_001	99.99980213842198	52.0	8.0	36.36363636363637	54583614.0
fastqc | MantonBM4_HiSeq_3_S27_L002_I1_001	99.99977215913773	52.0	8.0	36.36363636363637	52668340.0
fastqc | MantonBM4_HiSeq_4_S28_L001_I1_001	99.9998034849128	49.0	8.0	18.181818181818183	55975346.0
fastqc | MantonBM4_HiSeq_4_S28_L002_I1_001	99.99978255085209	49.0	8.0	18.181818181818183	54265561.0
fastqc | MantonBM4_HiSeq_5_S29_L001_I1_001	99.99981733130166	53.0	8.0	27.27272727272727	59123430.0
fastqc | MantonBM4_HiSeq_5_S29_L002_I1_001	99.99978641159161	52.0	8.0	27.27272727272727	55714634.0
fastqc | MantonBM4_HiSeq_6_S30_L001_I1_001	99.99980439422576	50.0	8.0	27.27272727272727	55213094.0
fastqc | MantonBM4_HiSeq_6_S30_L002_I1_001	99.99977225260906	50.0	8.0	27.27272727272727	52250873.0
fastqc | MantonBM4_HiSeq_7_S31_L001_I1_001	99.99980227021258	53.0	8.0	27.27272727272727	54619995.0
fastqc | MantonBM4_HiSeq_7_S31_L002_I1_001	99.99977279599844	53.0	8.0	27.27272727272727	51935705.0
fastqc | MantonBM4_HiSeq_8_S32_L001_I1_001	99.9998217217667	50.0	8.0	27.27272727272727	61140386.0
fastqc | MantonBM4_HiSeq_8_S32_L002_I1_001	99.99980287465266	51.0	8.0	27.27272727272727	60874972.0
fastqc | MantonBM5_HiSeq_1_S1_L001_I1_001	99.99982086463251	49.0	8.0	27.27272727272727	60847839.0
fastqc | MantonBM5_HiSeq_1_S1_L002_I1_001	99.99981299258218	49.0	8.0	27.27272727272727	62029625.0
fastqc | MantonBM5_HiSeq_2_S2_L001_I1_001	99.99982708461425	52.0	8.0	27.27272727272727	62458294.0
fastqc | MantonBM5_HiSeq_2_S2_L002_I1_001	99.99981782598493	52.0	8.0	27.27272727272727	63675382.0
fastqc | MantonBM5_HiSeq_3_S3_L001_I1_001	99.99982905460674	53.0	8.0	36.36363636363637	63763052.0
fastqc | MantonBM5_HiSeq_3_S3_L002_I1_001	99.99982143099596	54.0	8.0	36.36363636363637	64960882.0
fastqc | MantonBM5_HiSeq_4_S4_L001_I1_001	99.99982163157655	50.0	8.0	18.181818181818183	61109471.0
fastqc | MantonBM5_HiSeq_4_S4_L002_I1_001	99.99981351301719	50.0	8.0	18.181818181818183	62202733.0
fastqc | MantonBM5_HiSeq_5_S5_L001_I1_001	99.9998244252869	50.0	8.0	18.181818181818183	62651391.0
fastqc | MantonBM5_HiSeq_5_S5_L002_I1_001	99.99981867298702	50.0	8.0	18.181818181818183	63972818.0
fastqc | MantonBM5_HiSeq_6_S6_L001_I1_001	99.99981600987147	50.0	8.0	27.27272727272727	60872831.0
fastqc | MantonBM5_HiSeq_6_S6_L002_I1_001	99.9998131016094	50.0	8.0	27.27272727272727	62065810.0
fastqc | MantonBM5_HiSeq_7_S7_L001_I1_001	99.99977072719072	51.0	8.0	27.27272727272727	47105455.0
fastqc | MantonBM5_HiSeq_7_S7_L002_I1_001	99.99975717290819	51.0	8.0	27.27272727272727	47770617.0
fastqc | MantonBM5_HiSeq_8_S8_L001_I1_001	99.99980606675273	52.0	8.0	27.27272727272727	55689265.0
fastqc | MantonBM5_HiSeq_8_S8_L002_I1_001	99.99979533623504	53.0	8.0	27.27272727272727	56678328.0
fastqc | MantonBM6_HiSeq_1_S9_L003_I1_001	99.99983198348062	51.0	8.0	18.181818181818183	66660112.0
fastqc | MantonBM6_HiSeq_1_S9_L004_I1_001	99.99982690715193	51.0	8.0	18.181818181818183	67016056.0
fastqc | MantonBM6_HiSeq_2_S10_L003_I1_001	99.9998410086773	51.0	8.0	27.27272727272727	70444096.0
fastqc | MantonBM6_HiSeq_2_S10_L004_I1_001	99.99983620033117	51.0	8.0	27.27272727272727	70818214.0
fastqc | MantonBM6_HiSeq_4_S11_L003_I1_001	99.99983468762788	50.0	8.0	18.181818181818183	67750525.0
fastqc | MantonBM6_HiSeq_4_S11_L004_I1_001	99.9998295257493	50.0	8.0	18.181818181818183	68045467.0
fastqc | MantonBM6_HiSeq_5_S12_L003_I1_001	99.9998334101605	53.0	8.0	27.27272727272727	67230991.0
fastqc | MantonBM6_HiSeq_5_S12_L004_I1_001	99.99982844169077	53.0	8.0	27.27272727272727	67615495.0
fastqc | MantonBM6_HiSeq_6_S13_L003_I1_001	99.99984924463554	50.0	8.0	27.27272727272727	74292547.0
fastqc | MantonBM6_HiSeq_6_S13_L004_I1_001	99.99984461683671	50.0	8.0	27.27272727272727	74654163.0
fastqc | MantonBM6_HiSeq_7_S14_L003_I1_001	99.99983205095994	50.0	8.0	27.27272727272727	66686895.0
fastqc | MantonBM6_HiSeq_7_S14_L004_I1_001	99.99982692182647	50.0	8.0	27.27272727272727	67021738.0
fastqc | MantonBM6_HiSeq_8_S15_L003_I1_001	99.9998407590674	49.0	8.0	27.27272727272727	70333675.0
fastqc | MantonBM6_HiSeq_8_S15_L004_I1_001	99.99983597161443	50.0	8.0	27.27272727272727	70719467.0
fastqc | MantonBM7_HiSeq_1_S16_L005_I1_001	99.99968936418699	50.0	8.0	27.27272727272727	38630446.0
fastqc | MantonBM7_HiSeq_1_S16_L006_I1_001	99.99974067709645	50.0	8.0	27.27272727272727	45888735.0
fastqc | MantonBM7_HiSeq_2_S17_L005_I1_001	99.9997217160611	50.0	8.0	27.27272727272727	43121425.0
fastqc | MantonBM7_HiSeq_2_S17_L006_I1_001	99.99976831036831	50.0	8.0	27.27272727272727	51361815.0
