Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
fastqc | MantonBM1_HiSeq_1_S1_L007_R1_001	1.3466446025321919	0.004764049399766621	0.000896246751628336	0.008229536839396187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004222318029893494	0.0	0.001647102363548075	0.0	0.0
fastqc | MantonBM1_HiSeq_1_S1_L008_R1_001	0.250209571836581	0.001849982162212128	0.0191309192159194	0.04515441411312412	2.474892524698499e-05	0.0	0.0	0.0	0.0	0.00010724534273693496	2.0624104372487494e-06	0.0002165530959111187	0.0	0.0	0.0	0.0	0.00011961980536042747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fastqc | MantonBM1_HiSeq_2_S2_L007_R1_001	1.3357484018160182	0.004682681181192532	0.0008881988821100673	0.00844896669036674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036253015596329275	0.0	0.0015226266550458297	0.0	0.0
fastqc | MantonBM1_HiSeq_2_S2_L008_R1_001	0.25431558073403604	0.0018864890078817299	0.0185128859846092	0.04652988251283709	2.7401516315600545e-05	0.0	0.0	0.0	0.0	8.642016684150941e-05	1.0539044736769441e-05	0.00026136830947188214	0.0	0.0	0.0	0.0	0.0001285763457885872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fastqc | MantonBM1_HiSeq_3_S3_L007_R1_001	1.329921504134349	0.0047919938478843205	0.0008003584468276484	0.008446422390632896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047127705498480814	0.0	0.0014646153303622701	0.0	0.0
fastqc | MantonBM1_HiSeq_3_S3_L008_R1_001	0.25914035992399637	0.0018076322474139667	0.018046338052974033	0.04666646805557218	1.4992210582817261e-05	0.0	0.0	0.0	0.0	9.637849660382525e-05	8.566977475895578e-06	0.00023559188058712836	0.0	0.0	0.0	0.0	9.209500786587746e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fastqc | MantonBM1_HiSeq_4_S4_L007_R1_001	1.3372972538592531	0.004751124778167566	0.0008643522189168302	0.008296656331251569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044998814000008516	0.0	0.001531834626583623	0.0	0.0
fastqc | MantonBM1_HiSeq_4_S4_L008_R1_001	0.25795315785196876	0.0018998492223074284	0.018902222717497173	0.04696576593511797	2.1611521660167232e-05	0.0	0.0	0.0	0.0	9.430482178982065e-05	9.82341893643965e-06	0.00023969142204912746	0.0	0.0	0.0	0.0	0.00012573976238642754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fastqc | MantonBM1_HiSeq_5_S5_L007_R1_001	1.3460115558275196	0.0046584049275191115	0.0008469827140943838	0.008238364253488896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041491865751182365	0.0	0.0015979511933926433	0.0	0.0
fastqc | MantonBM1_HiSeq_5_S5_L008_R1_001	0.25207716427981264	0.001782789627751382	0.018326291373849127	0.04543255371002094	2.8581797639300715e-05	0.0	0.0	0.0	0.0	0.00010182265409000879	5.3590870573688846e-06	0.0002697407152209005	0.0	0.0	0.0	0.0	0.00012325900231948433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
