Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
fastqc | MantonBM1_HiSeq_1_S1_L007_R1_001	31.192048988767777	31.61545776290796	35.52691051575675	36.13678671281129	36.326705920548285	39.76247732321448	39.87622694935511	39.99644178089647	40.01326138476855	40.1099084918125	40.068453992477544	40.09971569658877	40.029320194648065	40.06609650502206	40.03819843488629	40.03691524853709	40.02683085933712	40.03172376910317	39.95458566343381	39.935523570522776	40.00007293456899	39.99849964310459	39.91204009322002	39.960920534640266	39.96411818371732	39.69248381781678
fastqc | MantonBM1_HiSeq_1_S1_L008_R1_001	31.504170028911282	31.57599728784778	35.48855560198729	36.02849063275866	36.25484318936595	39.66489138501049	39.7973931090825	39.90310189417137	39.91293059984754	39.9869288345067	39.95365615253951	40.00658564776001	39.95409249671572	39.979603730108515	39.927403152608846	39.887839231971554	39.9154600431283	39.940710690962355	39.860400676025144	39.83296486308461	39.90755591699986	39.897418757218695	39.83060325876524	39.85973785855882	39.796377000708276	39.6425149742341
fastqc | MantonBM1_HiSeq_2_S2_L007_R1_001	31.176117290750916	31.599029361760422	35.44524048458037	36.082814515755786	36.29826455605907	39.70525029464638	39.829096416546506	39.94011088427913	39.996156837957194	40.07898202821202	40.04157938921	40.07456057014876	39.98696192518981	40.03472354114945	40.026040319556635	39.9971696666507	39.998746934656474	40.003596722099005	39.912105671417734	39.89273943132956	39.966930764514466	39.96315972583214	39.863232457437654	39.92309885460209	39.92503873332608	39.6366460949601
fastqc | MantonBM1_HiSeq_2_S2_L008_R1_001	31.485134361227445	31.562760327578804	35.42449080078402	35.98365552246998	36.22922245246522	39.61549572610119	39.76005472293589	39.85288572745651	39.903959097545815	39.957543858761625	39.93223493301278	39.984760794247705	39.91650344848083	39.9535975977723	39.92232456337265	39.8521274431877	39.89460145864595	39.91974700812329	39.82393246327196	39.79636474622086	39.880794403682934	39.86807529430809	39.78991638954248	39.827383831798535	39.76759334379228	39.59403778837725
fastqc | MantonBM1_HiSeq_3_S3_L007_R1_001	31.17429182446238	31.601662515128858	35.4967416777906	36.08945413380364	36.29867236175194	39.70981769439361	39.81894323717731	39.938931086354756	39.971249926083644	40.07443593570424	40.03954579211242	40.07463968177586	39.99239056159629	40.03265962179245	40.019036281893804	39.99142369202792	39.98620567997326	39.98538003101206	39.912537032067334	39.89730468729925	39.9587307355093	39.95650610467311	39.87422448262768	39.91831785455671	39.917422976621225	39.64849548964498
fastqc | MantonBM1_HiSeq_3_S3_L008_R1_001	31.479857568859277	31.563962371007822	35.46656104154571	35.98455937239865	36.22874690841878	39.61639244449985	39.74935855291585	39.85136326205487	39.877423322178345	39.95463971758274	39.92923520257571	39.98564206701205	39.92205907389303	39.95388019077716	39.91667892636839	39.847666804031014	39.88120712053757	39.902024875803995	39.823839405324975	39.80108628417697	39.87318990742374	39.861920219893754	39.79941947162181	39.82250959624628	39.76250590773412	39.60696157301529
fastqc | MantonBM1_HiSeq_4_S4_L007_R1_001	31.210874548387682	31.62835395144617	35.587526321259396	36.17801191452348	36.34532877342851	39.81832921316067	39.908854977241006	40.02978730241841	40.005520154509426	40.090403967290435	40.06788054217346	40.08139835464461	40.020015603713745	40.046538504669535	40.02005158401544	39.98879578280115	40.00121881162669	39.997853575321706	39.944168527758244	39.927248073717955	39.978260772964504	39.97259099739853	39.908465924994964	39.93993072695078	39.93861184921145	39.68976728282105
fastqc | MantonBM1_HiSeq_4_S4_L008_R1_001	31.515826274486443	31.588484701478873	35.54189587977518	36.06722963239823	36.27046701476672	39.714369320000934	39.82580199963944	39.93190182019308	39.907652376552235	39.967213573072954	39.95408154805137	39.98963157778097	39.94677528198321	39.96230881858534	39.91138091415008	39.84168709675848	39.89129815223848	39.911838783706706	39.84941897227548	39.82705426943862	39.88686401810527	39.872207064468505	39.82691259609072	39.837824371257966	39.77647845598487	39.640320682760624
fastqc | MantonBM1_HiSeq_5_S5_L007_R1_001	31.203853822785327	31.631893082663026	35.58046562960434	36.15850064170942	36.319376092644134	39.7563959411011	39.87229227213143	40.00178269286838	40.01895142682725	40.10304518575625	40.07707042052606	40.092142786540556	40.033189960648734	40.066792422453716	40.050240905715995	40.02014863860816	40.032276145169064	40.02997783871443	39.95907561266726	39.940104862975254	40.00105406484407	39.99525355344825	39.91661388312684	39.96216445918225	39.96473868654413	39.703239803181106
fastqc | MantonBM1_HiSeq_5_S5_L008_R1_001	31.51285291285317	31.59108638412464	35.536070782393125	36.047913167927135	36.24331544994073	39.65335022255574	39.791232637183164	39.90516266579854	39.920803268557215	39.97897022784194	39.960703047198336	39.999201960482665	39.95592633213149	39.98027748781147	39.9405472349576	39.87126106321001	39.92274961752196	39.94090054170366	39.862797260520445	39.8379495139701	39.90735658672171	39.89435449474849	39.83390572551285	39.85866599389879	39.79825529204488	39.65134485217887
fastqc | MantonBM1_HiSeq_6_S6_L007_R1_001	31.20725160879221	31.634389859135325	35.59622011296721	36.168554410796865	36.34522171857258	39.79154157757883	39.86815614017183	39.99657910731163	40.02308327701916	40.102022844701075	40.07036508822091	40.08602568535667	40.032971744087334	40.066175714495195	40.049408486707115	40.03017991326508	40.04318764978642	40.038250174755	39.9764659637236	39.95781565514544	40.01297908303554	40.00776131053059	39.93734209015073	39.9756431260456	39.978644430364454	39.72837617873939
