Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
fastqc | MantonBM1_HiSeq_1_S1_L007_R1_001	62.0	62.0	100.0	138.0	138.0	138.0	261.0	384.0	384.0	384.0	605.5	827.0	827.0	1264.5	1702.0	1702.0	1702.0	3151.5	4601.0	4601.0	4601.0	14158.0	23715.0	23715.0	23715.0	77302.0	130889.0	130889.0	130889.0	329451.0	528013.0	528013.0	528013.0	1029177.0	1530341.0	1530341.0	1530341.0	2448801.0	3367261.0	3367261.0	4592824.0	5818387.0	5818387.0	5818387.0	7077204.5	8336022.0	8336022.0	8336022.0	9254131.5	10172241.0	10172241.0	10172241.0	9184213.5	8196186.0	8196186.0	8196186.0	7087565.0	5978944.0	5978944.0	5978944.0	4779435.0	3579926.0	3579926.0	2644169.0	1708412.0	1708412.0	1708412.0	1168563.0	628714.0	628714.0	628714.0	398258.5	167803.0	167803.0	167803.0	99225.0	30647.0	30647.0	30647.0	17027.5	3408.0	3408.0	3408.0	1907.5	407.0	407.0	407.0	255.5	104.0	104.0	83.0	62.0	62.0	62.0	62.5	63.0	63.0	63.0	95.5	128.0	128.0
fastqc | MantonBM1_HiSeq_1_S1_L008_R1_001	62.0	62.0	113.5	165.0	165.0	165.0	256.5	348.0	348.0	348.0	564.0	780.0	780.0	1243.5	1707.0	1707.0	1707.0	3132.5	4558.0	4558.0	4558.0	13685.0	22812.0	22812.0	22812.0	74478.5	126145.0	126145.0	126145.0	318932.0	511719.0	511719.0	511719.0	997382.0	1483045.0	1483045.0	1483045.0	2372502.0	3261959.0	3261959.0	4454774.0	5647589.0	5647589.0	5647589.0	6837448.5	8027308.0	8027308.0	8027308.0	8866904.5	9706501.0	9706501.0	9706501.0	8824774.0	7943047.0	7943047.0	7943047.0	6873030.0	5803013.0	5803013.0	5803013.0	4639234.0	3475455.0	3475455.0	2568399.0	1661343.0	1661343.0	1661343.0	1136820.0	612297.0	612297.0	612297.0	388015.5	163734.0	163734.0	163734.0	96454.5	29175.0	29175.0	29175.0	16273.0	3371.0	3371.0	3371.0	1876.5	382.0	382.0	382.0	258.5	135.0	135.0	100.5	66.0	66.0	66.0	78.5	91.0	91.0	91.0	119.0	147.0	147.0
fastqc | MantonBM1_HiSeq_2_S2_L007_R1_001	74.0	74.0	143.0	212.0	212.0	212.0	325.5	439.0	439.0	439.0	647.5	856.0	856.0	1276.5	1697.0	1697.0	1697.0	3086.0	4475.0	4475.0	4475.0	13123.5	21772.0	21772.0	21772.0	71530.5	121289.0	121289.0	121289.0	312359.5	503430.0	503430.0	503430.0	995356.0	1487282.0	1487282.0	1487282.0	2402196.5	3317111.0	3317111.0	4557876.0	5798641.0	5798641.0	5798641.0	7046659.0	8294677.0	8294677.0	8294677.0	9164489.0	10034301.0	10034301.0	10034301.0	9124126.0	8213951.0	8213951.0	8213951.0	7081075.5	5948200.0	5948200.0	5948200.0	4723376.0	3498552.0	3498552.0	2567057.0	1635562.0	1635562.0	1635562.0	1110717.5	585873.0	585873.0	585873.0	369162.5	152452.0	152452.0	152452.0	89453.0	26454.0	26454.0	26454.0	14705.5	2957.0	2957.0	2957.0	1675.0	393.0	393.0	393.0	246.5	100.0	100.0	76.5	53.0	53.0	53.0	67.0	81.0	81.0	81.0	119.5	158.0	158.0
fastqc | MantonBM1_HiSeq_2_S2_L008_R1_001	81.0	81.0	137.0	193.0	193.0	193.0	273.5	354.0	354.0	354.0	589.5	825.0	825.0	1205.0	1585.0	1585.0	1585.0	2987.5	4390.0	4390.0	4390.0	12631.5	20873.0	20873.0	20873.0	68234.5	115596.0	115596.0	115596.0	297619.5	479643.0	479643.0	479643.0	951003.0	1422363.0	1422363.0	1422363.0	2301651.0	3180939.0	3180939.0	4368096.5	5555254.0	5555254.0	5555254.0	6737551.0	7919848.0	7919848.0	7919848.0	8706384.0	9492920.0	9492920.0	9492920.0	8679790.5	7866661.0	7866661.0	7866661.0	6787858.0	5709055.0	5709055.0	5709055.0	4535187.5	3361320.0	3361320.0	2466887.0	1572454.0	1572454.0	1572454.0	1067751.0	563048.0	563048.0	563048.0	354732.0	146416.0	146416.0	146416.0	85808.5	25201.0	25201.0	25201.0	14033.0	2865.0	2865.0	2865.0	1600.0	335.0	335.0	335.0	222.0	109.0	109.0	81.5	54.0	54.0	54.0	66.5	79.0	79.0	79.0	124.0	169.0	169.0
fastqc | MantonBM1_HiSeq_3_S3_L007_R1_001	103.0	103.0	147.0	191.0	191.0	191.0	306.5	422.0	422.0	422.0	632.0	842.0	842.0	1324.0	1806.0	1806.0	1806.0	3251.5	4697.0	4697.0	4697.0	14701.5	24706.0	24706.0	24706.0	79409.0	134112.0	134112.0	134112.0	326422.5	518733.0	518733.0	518733.0	992154.5	1465576.0	1465576.0	1465576.0	2321153.5	3176731.0	3176731.0	4321809.0	5466887.0	5466887.0	5466887.0	6664328.5	7861770.0	7861770.0	7861770.0	8735994.5	9610219.0	9610219.0	9610219.0	8844382.0	8078545.0	8078545.0	8078545.0	7100581.5	6122618.0	6122618.0	6122618.0	4971684.0	3820750.0	3820750.0	2870336.5	1919923.0	1919923.0	1919923.0	1336376.5	752830.0	752830.0	752830.0	486241.5	219653.0	219653.0	219653.0	130593.0	41533.0	41533.0	41533.0	23050.0	4567.0	4567.0	4567.0	2463.0	359.0	359.0	359.0	231.0	103.0	103.0	82.0	61.0	61.0	61.0	66.0	71.0	71.0	71.0	103.0	135.0	135.0
fastqc | MantonBM1_HiSeq_3_S3_L008_R1_001	93.0	93.0	145.0	197.0	197.0	197.0	292.5	388.0	388.0	388.0	619.0	850.0	850.0	1270.5	1691.0	1691.0	1691.0	3013.0	4335.0	4335.0	4335.0	13819.0	23303.0	23303.0	23303.0	75188.5	127074.0	127074.0	127074.0	309726.5	492379.0	492379.0	492379.0	944195.5	1396012.0	1396012.0	1396012.0	2208624.5	3021237.0	3021237.0	4110503.5	5199770.0	5199770.0	5199770.0	6318075.0	7436380.0	7436380.0	7436380.0	8229685.0	9022990.0	9022990.0	9022990.0	8353848.0	7684706.0	7684706.0	7684706.0	6759402.5	5834099.0	5834099.0	5834099.0	4737570.0	3641041.0	3641041.0	2737138.0	1833235.0	1833235.0	1833235.0	1275384.5	717534.0	717534.0	717534.0	463117.5	208701.0	208701.0	208701.0	124249.5	39798.0	39798.0	39798.0	22115.0	4432.0	4432.0	4432.0	2377.0	322.0	322.0	322.0	217.5	113.0	113.0	83.5	54.0	54.0	54.0	58.5	63.0	63.0	63.0	89.5	116.0	116.0
fastqc | MantonBM1_HiSeq_4_S4_L007_R1_001	91.0	91.0	144.0	197.0	197.0	197.0	312.0	427.0	427.0	427.0	685.5	944.0	944.0	1431.5	1919.0	1919.0	1919.0	3297.0	4675.0	4675.0	4675.0	13259.0	21843.0	21843.0	21843.0	72256.0	122669.0	122669.0	122669.0	313325.0	503981.0	503981.0	503981.0	1003714.0	1503447.0	1503447.0	1503447.0	2446167.5	3388888.0	3388888.0	4700176.5	6011465.0	6011465.0	6011465.0	7375805.5	8740146.0	8740146.0	8740146.0	9646638.5	10553131.0	10553131.0	10553131.0	9757005.0	8960879.0	8960879.0	8960879.0	7803830.5	6646782.0	6646782.0	6646782.0	5329360.5	4011939.0	4011939.0	2968506.5	1925074.0	1925074.0	1925074.0	1316407.5	707741.0	707741.0	707741.0	448781.0	189821.0	189821.0	189821.0	111991.5	34162.0	34162.0	34162.0	18981.5	3801.0	3801.0	3801.0	2081.5	362.0	362.0	362.0	242.0	122.0	122.0	83.0	44.0	44.0	44.0	43.0	42.0	42.0	42.0	94.5	147.0	147.0
fastqc | MantonBM1_HiSeq_4_S4_L008_R1_001	82.0	82.0	151.0	220.0	220.0	220.0	334.0	448.0	448.0	448.0	655.5	863.0	863.0	1399.5	1936.0	1936.0	1936.0	3141.5	4347.0	4347.0	4347.0	12425.0	20503.0	20503.0	20503.0	68412.0	116321.0	116321.0	116321.0	297803.0	479285.0	479285.0	479285.0	957577.5	1435870.0	1435870.0	1435870.0	2338155.5	3240441.0	3240441.0	4496737.5	5753034.0	5753034.0	5753034.0	7040911.0	8328788.0	8328788.0	8328788.0	9158314.5	9987841.0	9987841.0	9987841.0	9281309.0	8574777.0	8574777.0	8574777.0	7471827.0	6368877.0	6368877.0	6368877.0	5106285.5	3843694.0	3843694.0	2843793.5	1843893.0	1843893.0	1843893.0	1261031.0	678169.0	678169.0	678169.0	430220.5	182272.0	182272.0	182272.0	107484.5	32697.0	32697.0	32697.0	18222.0	3747.0	3747.0	3747.0	2034.0	321.0	321.0	321.0	215.0	109.0	109.0	80.5	52.0	52.0	52.0	61.5	71.0	71.0	71.0	94.5	118.0	118.0
fastqc | MantonBM1_HiSeq_5_S5_L007_R1_001	122.0	122.0	189.0	256.0	256.0	256.0	390.5	525.0	525.0	525.0	828.0	1131.0	1131.0	1660.0	2189.0	2189.0	2189.0	3988.0	5787.0	5787.0	5787.0	18533.0	31279.0	31279.0	31279.0	99961.0	168643.0	168643.0	168643.0	411022.5	653402.0	653402.0	653402.0	1245014.0	1836626.0	1836626.0	1836626.0	2891392.5	3946159.0	3946159.0	5334240.0	6722321.0	6722321.0	6722321.0	8094438.5	9466556.0	9466556.0	9466556.0	10360392.5	11254229.0	11254229.0	11254229.0	10440561.5	9626894.0	9626894.0	9626894.0	8381439.0	7135984.0	7135984.0	7135984.0	5737805.5	4339627.0	4339627.0	3219352.0	2099077.0	2099077.0	2099077.0	1439133.5	779190.0	779190.0	779190.0	495121.5	211053.0	211053.0	211053.0	124769.5	38486.0	38486.0	38486.0	21368.0	4250.0	4250.0	4250.0	2337.5	425.0	425.0	425.0	286.0	147.0	147.0	112.0	77.0	77.0	77.0	77.0	77.0	77.0	77.0	125.0	173.0	173.0
