Sample	Unique Reads	Duplicate Reads
fastqc | MantonBM1_HiSeq_1_S1_L007_R1_001	26300831.0	23908556.0
fastqc | MantonBM1_HiSeq_1_S1_L008_R1_001	25564574.0	22922380.0
fastqc | MantonBM1_HiSeq_2_S2_L007_R1_001	25477565.0	24173477.0
fastqc | MantonBM1_HiSeq_2_S2_L008_R1_001	24438993.0	23003637.0
fastqc | MantonBM1_HiSeq_3_S3_L007_R1_001	25007384.0	24220559.0
fastqc | MantonBM1_HiSeq_3_S3_L008_R1_001	23976324.0	22714589.0
fastqc | MantonBM1_HiSeq_4_S4_L007_R1_001	26248020.0	27086719.0
fastqc | MantonBM1_HiSeq_4_S4_L008_R1_001	25459971.0	25438805.0
fastqc | MantonBM1_HiSeq_5_S5_L007_R1_001	27684862.0	30639823.0
fastqc | MantonBM1_HiSeq_5_S5_L008_R1_001	26674425.0	29305259.0
fastqc | MantonBM1_HiSeq_6_S6_L007_R1_001	29548620.0	32817265.0
fastqc | MantonBM1_HiSeq_6_S6_L008_R1_001	28623431.0	31588978.0
fastqc | MantonBM1_HiSeq_7_S7_L007_R1_001	27670005.0	32571555.0
fastqc | MantonBM1_HiSeq_7_S7_L008_R1_001	26729145.0	31231056.0
fastqc | MantonBM1_HiSeq_8_S8_L007_R1_001	28494971.0	31066367.0
fastqc | MantonBM1_HiSeq_8_S8_L008_R1_001	27677194.0	29786429.0
fastqc | MantonBM2_HiSeq_1_S9_L005_R1_001	23891757.0	27204621.0
fastqc | MantonBM2_HiSeq_1_S9_L006_R1_001	23145963.0	23776924.0
fastqc | MantonBM2_HiSeq_2_S10_L005_R1_001	25426686.0	32540153.0
fastqc | MantonBM2_HiSeq_2_S10_L006_R1_001	24785613.0	28246521.0
fastqc | MantonBM2_HiSeq_3_S11_L005_R1_001	25314531.0	30660192.0
fastqc | MantonBM2_HiSeq_3_S11_L006_R1_001	24595310.0	26666659.0
fastqc | MantonBM2_HiSeq_4_S12_L005_R1_001	24486203.0	29774210.0
fastqc | MantonBM2_HiSeq_4_S12_L006_R1_001	23856970.0	26142447.0
fastqc | MantonBM2_HiSeq_5_S13_L005_R1_001	26817806.0	32756820.0
fastqc | MantonBM2_HiSeq_5_S13_L006_R1_001	26043945.0	28733809.0
fastqc | MantonBM2_HiSeq_6_S14_L005_R1_001	26794513.0	32679894.0
fastqc | MantonBM2_HiSeq_6_S14_L006_R1_001	26214933.0	28601791.0
fastqc | MantonBM2_HiSeq_7_S15_L005_R1_001	27362875.0	40509753.0
fastqc | MantonBM2_HiSeq_7_S15_L006_R1_001	26777519.0	35660822.0
fastqc | MantonBM2_HiSeq_8_S16_L005_R1_001	25035882.0	29046090.0
fastqc | MantonBM2_HiSeq_8_S16_L006_R1_001	24363511.0	25396805.0
fastqc | MantonBM3_HiSeq_1_S17_L003_R1_001	24886101.0	30131923.0
fastqc | MantonBM3_HiSeq_1_S17_L004_R1_001	24249475.0	27795913.0
fastqc | MantonBM3_HiSeq_2_S18_L003_R1_001	28170544.0	49313076.0
fastqc | MantonBM3_HiSeq_2_S18_L004_R1_001	27450108.0	45028783.0
fastqc | MantonBM3_HiSeq_3_S19_L003_R1_001	24685819.0	30276560.0
fastqc | MantonBM3_HiSeq_3_S19_L004_R1_001	24084606.0	27471226.0
fastqc | MantonBM3_HiSeq_4_S20_L003_R1_001	27637556.0	41327504.0
fastqc | MantonBM3_HiSeq_4_S20_L004_R1_001	27084756.0	37985947.0
fastqc | MantonBM3_HiSeq_5_S21_L003_R1_001	24548712.0	28600079.0
fastqc | MantonBM3_HiSeq_5_S21_L004_R1_001	23772032.0	25836989.0
fastqc | MantonBM3_HiSeq_6_S22_L003_R1_001	25436316.0	29017756.0
fastqc | MantonBM3_HiSeq_6_S22_L004_R1_001	24569487.0	26334804.0
fastqc | MantonBM3_HiSeq_7_S23_L003_R1_001	23629095.0	25647806.0
fastqc | MantonBM3_HiSeq_7_S23_L004_R1_001	22819777.0	22857694.0
fastqc | MantonBM3_HiSeq_8_S24_L003_R1_001	24669557.0	28371856.0
fastqc | MantonBM3_HiSeq_8_S24_L004_R1_001	23979094.0	26069687.0
fastqc | MantonBM4_HiSeq_1_S25_L001_R1_001	26047578.0	35591296.0
fastqc | MantonBM4_HiSeq_1_S25_L002_R1_001	26785932.0	33705280.0
fastqc | MantonBM4_HiSeq_2_S26_L001_R1_001	24479458.0	28127517.0
fastqc | MantonBM4_HiSeq_2_S26_L002_R1_001	24453409.0	24804929.0
fastqc | MantonBM4_HiSeq_3_S27_L001_R1_001	24977402.0	29606212.0
fastqc | MantonBM4_HiSeq_3_S27_L002_R1_001	25326574.0	27341766.0
fastqc | MantonBM4_HiSeq_4_S28_L001_R1_001	25354949.0	30620397.0
fastqc | MantonBM4_HiSeq_4_S28_L002_R1_001	25846164.0	28419397.0
fastqc | MantonBM4_HiSeq_5_S29_L001_R1_001	26636600.0	32486830.0
fastqc | MantonBM4_HiSeq_5_S29_L002_R1_001	26666706.0	29047928.0
fastqc | MantonBM4_HiSeq_6_S30_L001_R1_001	25794723.0	29418371.0
fastqc | MantonBM4_HiSeq_6_S30_L002_R1_001	25818971.0	26431902.0
fastqc | MantonBM4_HiSeq_7_S31_L001_R1_001	25685231.0	28934764.0
fastqc | MantonBM4_HiSeq_7_S31_L002_R1_001	25803007.0	26132698.0
fastqc | MantonBM4_HiSeq_8_S32_L001_R1_001	27594942.0	33545444.0
fastqc | MantonBM4_HiSeq_8_S32_L002_R1_001	28554807.0	32320165.0
fastqc | MantonBM5_HiSeq_1_S1_L001_R1_001	34454338.0	26393501.0
fastqc | MantonBM5_HiSeq_1_S1_L002_R1_001	34698998.0	27330627.0
fastqc | MantonBM5_HiSeq_2_S2_L001_R1_001	33493905.0	28964389.0
fastqc | MantonBM5_HiSeq_2_S2_L002_R1_001	33485890.0	30189492.0
fastqc | MantonBM5_HiSeq_3_S3_L001_R1_001	34280014.0	29483038.0
fastqc | MantonBM5_HiSeq_3_S3_L002_R1_001	34578640.0	30382242.0
fastqc | MantonBM5_HiSeq_4_S4_L001_R1_001	33480724.0	27628747.0
fastqc | MantonBM5_HiSeq_4_S4_L002_R1_001	33540506.0	28662227.0
fastqc | MantonBM5_HiSeq_5_S5_L001_R1_001	34544937.0	28106454.0
fastqc | MantonBM5_HiSeq_5_S5_L002_R1_001	34898603.0	29074215.0
fastqc | MantonBM5_HiSeq_6_S6_L001_R1_001	33071642.0	27801189.0
fastqc | MantonBM5_HiSeq_6_S6_L002_R1_001	33260953.0	28804857.0
fastqc | MantonBM5_HiSeq_7_S7_L001_R1_001	28357563.0	18747892.0
fastqc | MantonBM5_HiSeq_7_S7_L002_R1_001	28451789.0	19318828.0
fastqc | MantonBM5_HiSeq_8_S8_L001_R1_001	31862344.0	23826921.0
fastqc | MantonBM5_HiSeq_8_S8_L002_R1_001	31956496.0	24721832.0
fastqc | MantonBM6_HiSeq_1_S9_L003_R1_001	29657243.0	37002869.0
fastqc | MantonBM6_HiSeq_1_S9_L004_R1_001	29634768.0	37381288.0
fastqc | MantonBM6_HiSeq_2_S10_L003_R1_001	30066409.0	40377687.0
fastqc | MantonBM6_HiSeq_2_S10_L004_R1_001	29915664.0	40902550.0
fastqc | MantonBM6_HiSeq_4_S11_L003_R1_001	29158595.0	38591930.0
fastqc | MantonBM6_HiSeq_4_S11_L004_R1_001	29086839.0	38958628.0
fastqc | MantonBM6_HiSeq_5_S12_L003_R1_001	30497797.0	36733194.0
fastqc | MantonBM6_HiSeq_5_S12_L004_R1_001	30570084.0	37045411.0
fastqc | MantonBM6_HiSeq_6_S13_L003_R1_001	30421579.0	43870968.0
fastqc | MantonBM6_HiSeq_6_S13_L004_R1_001	30471683.0	44182480.0
fastqc | MantonBM6_HiSeq_7_S14_L003_R1_001	29162126.0	37524769.0
fastqc | MantonBM6_HiSeq_7_S14_L004_R1_001	29264695.0	37757043.0
fastqc | MantonBM6_HiSeq_8_S15_L003_R1_001	30073077.0	40260598.0
fastqc | MantonBM6_HiSeq_8_S15_L004_R1_001	29897929.0	40821538.0
fastqc | MantonBM7_HiSeq_1_S16_L005_R1_001	21957809.0	16672637.0
fastqc | MantonBM7_HiSeq_1_S16_L006_R1_001	24272080.0	21616655.0
fastqc | MantonBM7_HiSeq_2_S17_L005_R1_001	24029331.0	19092094.0
fastqc | MantonBM7_HiSeq_2_S17_L006_R1_001	26651182.0	24710633.0
fastqc | MantonBM7_HiSeq_3_S18_L005_R1_001	24575962.0	19129575.0
fastqc | MantonBM7_HiSeq_3_S18_L006_R1_001	27296021.0	24481536.0
fastqc | MantonBM7_HiSeq_4_S19_L005_R1_001	27400010.0	25221414.0
fastqc | MantonBM7_HiSeq_4_S19_L006_R1_001	29918071.0	32204712.0
fastqc | MantonBM7_HiSeq_5_S20_L005_R1_001	22590272.0	17378109.0
fastqc | MantonBM7_HiSeq_5_S20_L006_R1_001	25162099.0	22352144.0
fastqc | MantonBM7_HiSeq_6_S21_L005_R1_001	22667444.0	15800839.0
fastqc | MantonBM7_HiSeq_6_S21_L006_R1_001	25358504.0	20705403.0
fastqc | MantonBM7_HiSeq_7_S22_L005_R1_001	20645360.0	15358694.0
fastqc | MantonBM7_HiSeq_7_S22_L006_R1_001	22761699.0	20222320.0
fastqc | MantonBM7_HiSeq_8_S23_L005_R1_001	22973509.0	18432522.0
fastqc | MantonBM7_HiSeq_8_S23_L006_R1_001	25561781.0	23593247.0
fastqc | MantonBM8_HiSeq_1_S24_L007_R1_001	27217667.0	27394154.0
fastqc | MantonBM8_HiSeq_1_S24_L008_R1_001	26165815.0	25351061.0
