Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastqc | MantonBM1_HiSeq_1_S1_L007_R1_001	47.61770328427182	50.0	26.0	9.090909090909092	50209387.0
fastqc | MantonBM1_HiSeq_1_S1_L008_R1_001	47.27535734292747	50.0	26.0	0.0	48486954.0
fastqc | MantonBM1_HiSeq_2_S2_L007_R1_001	48.686747553450346	50.0	26.0	9.090909090909092	49651042.0
fastqc | MantonBM1_HiSeq_2_S2_L008_R1_001	48.48727356649104	50.0	26.0	0.0	47442630.0
fastqc | MantonBM1_HiSeq_3_S3_L007_R1_001	49.20083541004071	50.0	26.0	9.090909090909092	49227943.0
fastqc | MantonBM1_HiSeq_3_S3_L008_R1_001	48.64884426877263	50.0	26.0	0.0	46690913.0
fastqc | MantonBM1_HiSeq_4_S4_L007_R1_001	50.786260089819066	50.0	26.0	18.181818181818183	53334739.0
fastqc | MantonBM1_HiSeq_4_S4_L008_R1_001	49.97920953907686	50.0	26.0	0.0	50898776.0
fastqc | MantonBM1_HiSeq_5_S5_L007_R1_001	52.53319973935167	50.0	26.0	18.181818181818183	58324685.0
fastqc | MantonBM1_HiSeq_5_S5_L008_R1_001	52.349812040959605	50.0	26.0	9.090909090909092	55979684.0
fastqc | MantonBM1_HiSeq_6_S6_L007_R1_001	52.62054085114704	50.0	26.0	18.181818181818183	62365885.0
fastqc | MantonBM1_HiSeq_6_S6_L008_R1_001	52.46257143152874	50.0	26.0	9.090909090909092	60212409.0
fastqc | MantonBM1_HiSeq_7_S7_L007_R1_001	54.068247132286864	50.0	26.0	18.181818181818183	60241560.0
fastqc | MantonBM1_HiSeq_7_S7_L008_R1_001	53.88362372964012	50.0	26.0	9.090909090909092	57960201.0
fastqc | MantonBM1_HiSeq_8_S8_L007_R1_001	52.15861242919152	50.0	26.0	18.181818181818183	59561338.0
fastqc | MantonBM1_HiSeq_8_S8_L008_R1_001	51.83527862682454	50.0	26.0	9.090909090909092	57463623.0
fastqc | MantonBM2_HiSeq_1_S9_L005_R1_001	53.241781156485914	50.0	26.0	9.090909090909092	51096378.0
fastqc | MantonBM2_HiSeq_1_S9_L006_R1_001	50.67233861400497	50.0	26.0	9.090909090909092	46922887.0
fastqc | MantonBM2_HiSeq_2_S10_L005_R1_001	56.135808381165084	50.0	26.0	9.090909090909092	57966839.0
fastqc | MantonBM2_HiSeq_2_S10_L006_R1_001	53.263030997989375	50.0	26.0	9.090909090909092	53032134.0
fastqc | MantonBM2_HiSeq_3_S11_L005_R1_001	54.77506822397973	50.0	26.0	9.090909090909092	55974723.0
fastqc | MantonBM2_HiSeq_3_S11_L006_R1_001	52.02035687339185	50.0	26.0	9.090909090909092	51261969.0
fastqc | MantonBM2_HiSeq_4_S12_L005_R1_001	54.8728046215017	50.0	26.0	9.090909090909092	54260413.0
fastqc | MantonBM2_HiSeq_4_S12_L006_R1_001	52.28550482339142	50.0	26.0	9.090909090909092	49999417.0
fastqc | MantonBM2_HiSeq_5_S13_L005_R1_001	54.98451730238648	50.0	26.0	9.090909090909092	59574626.0
fastqc | MantonBM2_HiSeq_5_S13_L006_R1_001	52.45525267133457	50.0	26.0	9.090909090909092	54777754.0
fastqc | MantonBM2_HiSeq_6_S14_L005_R1_001	54.947827561774226	50.0	26.0	9.090909090909092	59474407.0
