Sample	Top over-represented sequence	Sum of remaining over-represented sequences
fastqc | MantonBM1_HiSeq_1_S1_L007_R2_001	0.9243610163971927	1.5313172415349348
fastqc | MantonBM1_HiSeq_1_S1_L008_R2_001	0.7690707896396214	1.2322366135847593
fastqc | MantonBM1_HiSeq_2_S2_L007_R2_001	0.820458108411904	1.3475407021669354
fastqc | MantonBM1_HiSeq_2_S2_L008_R2_001	0.6867536643731598	1.2035336152317022
fastqc | MantonBM1_HiSeq_3_S3_L007_R2_001	0.8780724394679664	1.2443948754876883
fastqc | MantonBM1_HiSeq_3_S3_L008_R2_001	0.738293551895205	1.020436246341981
fastqc | MantonBM1_HiSeq_4_S4_L007_R2_001	0.7354549911643892	1.11112758984346
fastqc | MantonBM1_HiSeq_4_S4_L008_R2_001	0.6169224973111338	0.7136261980052327
fastqc | MantonBM1_HiSeq_5_S5_L007_R2_001	0.6461980891967097	1.0760623910784943
fastqc | MantonBM1_HiSeq_5_S5_L008_R2_001	0.5380041087763197	0.5012729260851132
fastqc | MantonBM1_HiSeq_6_S6_L007_R2_001	0.6074458816707243	0.52404130880208
fastqc | MantonBM1_HiSeq_6_S6_L008_R2_001	0.504291399468837	0.36890734599241826
fastqc | MantonBM1_HiSeq_7_S7_L007_R2_001	0.6055935470462583	0.6955829165114582
fastqc | MantonBM1_HiSeq_7_S7_L008_R2_001	0.5056693989035683	0.4352831695666479
fastqc | MantonBM1_HiSeq_8_S8_L007_R2_001	0.5907842432955418	0.4984945099789396
fastqc | MantonBM1_HiSeq_8_S8_L008_R2_001	0.49230971740156376	0.25175231293717765
fastqc | MantonBM2_HiSeq_1_S9_L005_R2_001	0.5309339147287505	0.40324971762186357
fastqc | MantonBM2_HiSeq_1_S9_L006_R2_001	0.4437770421074049	0.27223388876306776
fastqc | MantonBM2_HiSeq_2_S10_L005_R2_001	0.4675983798254033	0.29072138986222795
fastqc | MantonBM2_HiSeq_2_S10_L006_R2_001	0.3930503720630967	0.2627652132573055
fastqc | MantonBM2_HiSeq_3_S11_L005_R2_001	0.46249804576969494	0.13016410996799394
fastqc | MantonBM2_HiSeq_3_S11_L006_R2_001	0.38532659562881794	0.11375294616560672
fastqc | MantonBM2_HiSeq_4_S12_L005_R2_001	0.5383980398379938	0.42356846786256497
fastqc | MantonBM2_HiSeq_4_S12_L006_R2_001	0.4495532417907993	0.28262129536430397
fastqc | MantonBM2_HiSeq_5_S13_L005_R2_001	0.7532384676657475	2.0767129952271963
fastqc | MantonBM2_HiSeq_5_S13_L006_R2_001	0.7281112694032691	1.8107186358900362
fastqc | MantonBM2_HiSeq_6_S14_L005_R2_001	0.5333554649817693	1.5996561344445186
fastqc | MantonBM2_HiSeq_6_S14_L006_R2_001	0.5128179495002292	1.3628450324758554
fastqc | MantonBM2_HiSeq_7_S15_L005_R2_001	0.5344820300755114	1.4245610174399022
fastqc | MantonBM2_HiSeq_7_S15_L006_R2_001	0.5122397470490127	1.2952362075091006
fastqc | MantonBM2_HiSeq_8_S16_L005_R2_001	0.5817705759693822	1.972145172517008
fastqc | MantonBM2_HiSeq_8_S16_L006_R2_001	0.5620764144664997	1.6919345930198677
fastqc | MantonBM3_HiSeq_1_S17_L003_R2_001	0.4991455163856848	0.7209582808717374
fastqc | MantonBM3_HiSeq_1_S17_L004_R2_001	0.46064600383034904	0.7920010126545698
fastqc | MantonBM3_HiSeq_2_S18_L003_R2_001	0.39617792767039023	0.5198892359443197
fastqc | MantonBM3_HiSeq_2_S18_L004_R2_001	0.36584444979987346	0.6125618009249065
fastqc | MantonBM3_HiSeq_3_S19_L003_R2_001	0.4163247737147623	0.9405287933406233
fastqc | MantonBM3_HiSeq_3_S19_L004_R2_001	0.38226519164698963	0.9298307900452465
fastqc | MantonBM3_HiSeq_4_S20_L003_R2_001	0.38844742540643046	1.0071969777159622
fastqc | MantonBM3_HiSeq_4_S20_L004_R2_001	0.3568841111183323	0.8866893600335009
fastqc | MantonBM3_HiSeq_5_S21_L003_R2_001	0.42038397449153636	0.8643865483224258
fastqc | MantonBM3_HiSeq_5_S21_L004_R2_001	0.39141268278606023	0.7468540852680805
fastqc | MantonBM3_HiSeq_6_S22_L003_R2_001	0.37641629445085395	0.5853740377762751
fastqc | MantonBM3_HiSeq_6_S22_L004_R2_001	0.34783511668986805	0.5673902814990586
fastqc | MantonBM3_HiSeq_7_S23_L003_R2_001	0.38345552615007183	0.520617154881554
fastqc | MantonBM3_HiSeq_7_S23_L004_R2_001	0.3567053876516062	0.5058730156054393
fastqc | MantonBM3_HiSeq_8_S24_L003_R2_001	0.40993251820044835	0.44527659924896795
fastqc | MantonBM3_HiSeq_8_S24_L004_R2_001	0.3758013606764968	0.4270933192159066
fastqc | MantonBM4_HiSeq_1_S25_L001_R2_001	0.41801217848333827	0.38618972825493214
fastqc | MantonBM4_HiSeq_1_S25_L002_R2_001	0.3375746546457029	0.2355499175648853
fastqc | MantonBM4_HiSeq_2_S26_L001_R2_001	0.3822687010610285	0.34512153568989656
