Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastqc | MantonBM1_HiSeq_1_S1_L007_R2_001	MantonBM1_HiSeq_1_S1_L007_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50209387.0	0.0	98.0	47.0	36.44345255183126	98.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_1_S1_L008_R2_001	MantonBM1_HiSeq_1_S1_L008_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48486954.0	0.0	98.0	47.0	36.36137086179645	98.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_2_S2_L007_R2_001	MantonBM1_HiSeq_2_S2_L007_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49651042.0	0.0	98.0	48.0	37.264533581417645	98.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_2_S2_L008_R2_001	MantonBM1_HiSeq_2_S2_L008_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47442630.0	0.0	98.0	48.0	37.16655118490453	98.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_3_S3_L007_R2_001	MantonBM1_HiSeq_3_S3_L007_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49227943.0	0.0	98.0	48.0	38.34448762401467	98.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_3_S3_L008_R2_001	MantonBM1_HiSeq_3_S3_L008_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46690913.0	0.0	98.0	48.0	38.34393566083189	98.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_4_S4_L007_R2_001	MantonBM1_HiSeq_4_S4_L007_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53334739.0	0.0	98.0	48.0	37.635050762403814	98.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_4_S4_L008_R2_001	MantonBM1_HiSeq_4_S4_L008_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50898776.0	0.0	98.0	48.0	37.68146151883576	98.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_5_S5_L007_R2_001	MantonBM1_HiSeq_5_S5_L007_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58324685.0	0.0	98.0	47.0	36.218041280796506	98.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_5_S5_L008_R2_001	MantonBM1_HiSeq_5_S5_L008_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55979684.0	0.0	98.0	47.0	36.29955780858441	98.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
