Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastqc | SRR9264343_S0_L001_R1_001	79.61261180153711	50.0	26.0	18.181818181818183	210987037.0
fastqc | SRR9264344_S0_L001_R1_001	84.38732284835261	50.0	26.0	18.181818181818183	330404706.0
fastqc | SRR9264345_S0_L001_R1_001	86.49801250791597	50.0	26.0	9.090909090909092	332110056.0
fastqc | SRR9264346_S0_L001_R1_001	82.57355672473462	50.0	26.0	9.090909090909092	301155525.0
fastqc | SRR9264347_S0_L001_R1_001	62.29934447061663	50.0	26.0	9.090909090909092	310871911.0
fastqc | SRR9264348_S0_L001_R1_001	73.21452407546519	50.0	26.0	9.090909090909092	324551184.0
fastqc | SRR9264349_S0_L001_R1_001	80.00837546739699	50.0	26.0	9.090909090909092	325408071.0
fastqc | SRR9264350_S0_L001_R1_001	84.14210323296575	50.0	26.0	9.090909090909092	324412280.0
fastqc | SRR9264351_S0_L001_R1_001	91.38909951005269	50.0	26.0	9.090909090909092	214565379.0
fastqc | SRR9264352_S0_L001_R1_001	80.68998684064341	50.0	26.0	9.090909090909092	274238504.0
fastqc | SRR9264353_S0_L001_R1_001	80.08878815975493	50.0	26.0	9.090909090909092	313990607.0
fastqc | SRR9264354_S0_L001_R1_001	87.22502367429848	50.0	26.0	18.181818181818183	324258554.0
